PID,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,POI11,POI12,POI13,POI14,POI15,POI16,POI17,POI18,POI19,POI20,POI21,POI22,POI23,POI24,POI25,POI26,POI27,POI28,POI29,POI30,POI31,POI32,POI33,POI34,POI35,POI36,POI37,POI38,POI39,POI40,POI41,POI42,POI43,POI44,POI45,POI46
POI1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI2,3.15834212,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI3,6.093900847,8.826889988,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI4,7.550442895,10.60935789,2.740269225,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI5,6.573495691,9.557223581,1.574907918,1.230762355,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI6,27.09682828,28.55186286,21.94413926,22.78820746,22.6668085,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI7,3.124790469,1.858519711,7.690218567,9.803844075,8.658091834,26.73741294,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI8,5.705525331,8.813298317,2.4885081,1.91123477,1.413229029,24.07165541,8.157663768,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI9,3.129493581,0.04000572197,8.789106507,10.57526473,9.521872122,28.51343138,1.823363058,8.780704295,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI10,4.573323617,7.652313026,2.391194456,2.977445391,2.095140883,24.32753698,6.972761466,1.185110063,7.619063827,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI11,14.54932034,17.47572505,8.701243133,7.120946586,7.97799721,18.77113512,16.39028557,9.031527726,17.43905703,10.03458851,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI12,15.51695719,18.37914223,9.559013668,8.196815777,8.973109877,17.70488408,17.21625623,10.09799784,18.34173973,11.05489453,1.254499161,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI13,1.696522781,3.469512009,7.32375407,8.323558146,7.511544963,28.69556255,4.236751958,6.414118982,3.45788128,5.419887151,15.43576105,16.47270045,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI14,24.70106037,27.62099162,18.81607622,17.22289063,18.12794157,18.58485151,26.48260657,19.13073175,27.58403018,20.17007808,10.15346201,9.266544314,25.54472759,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI15,1.708442963,4.706119334,5.673760386,6.534694091,5.743823563,27.34177728,4.831242932,4.624925644,4.682925189,3.648759739,13.64900524,14.69230554,1.789259194,23.75547196,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI16,8.455638407,9.292214949,6.290127507,8.938175169,7.855901151,19.31767466,7.450149859,8.613923983,9.254973882,7.968900668,12.71975932,13.07174951,10.15199905,21.88943849,9.325239402,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI17,33.51358263,36.44521693,27.64078976,26.01092692,26.94029837,22.84675412,35.30286007,27.91308855,36.40831441,28.97031257,18.97310353,18.08736879,34.3219973,8.825091216,32.5335353,30.46426069,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI18,24.33040802,27.26006052,18.46177968,16.84268606,17.75691589,18.69539386,26.13427702,18.74926616,27.22322308,19.79405178,9.787045249,8.921596068,25.16271329,0.4226397569,23.37348023,21.6101932,9.18607315,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI19,25.74911129,25.33957649,23.72939434,26.03969639,25.18320816,16.14286625,23.6281172,26.19447345,25.31405161,25.69578336,26.48314711,26.03627525,27.38904087,31.48153948,26.92045493,17.78543868,37.82935698,31.4209629,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI20,6.413883371,4.395266339,12.50678097,13.72863136,12.87534073,32.93246044,6.243867834,11.82131442,4.432601964,10.79837666,20.83106405,21.84838983,5.409897241,30.95147784,7.198303226,13.68745613,39.73179393,30.57055082,29.25580198,0,,,,,,,,,,,,,,,,,,,,,,,,,,
POI21,1.707749431,1.775195826,7.051694593,8.883051629,7.806940306,27.12237774,1.462187031,7.125646334,1.737460442,5.950522672,15.70625779,16.60469481,2.807034459,25.84894269,3.412241855,8.02698801,34.67354931,25.48895131,24.77374923,5.862309799,0,,,,,,,,,,,,,,,,,,,,,,,,,
POI22,4.420748514,2.952010674,10.50492526,11.71341495,10.85524499,31.19664503,4.768509499,9.80785081,2.981025925,8.778815445,18.81224676,19.82828705,3.404956727,28.93610033,5.189123716,12.07408878,37.72058593,28.55606642,28.2743482,2.020103062,4.078147195,0,,,,,,,,,,,,,,,,,,,,,,,,
POI23,10.07298888,7.793221646,16.16683228,17.36075007,16.52913662,36.2796202,9.556472357,15.45041117,7.832865399,14.44677467,24.47310408,25.50081709,9.037863662,34.57866281,10.82614269,16.9653465,43.3446139,34.19486828,31.52163046,3.662578457,9.410523942,5.678414489,0,,,,,,,,,,,,,,,,,,,,,,,
