HID,"Lat,Lng"
HID1,"12.8944628,80.2273584"
HID2,"12.9661099,80.1479566"
HID3,"13.0694273,80.1980712"
HID4,"13.054749,80.2111616"
HID5,"13.0826802,80.2707184"
HID6,"13.0826869,80.2705066"
HID7,"12.9050047368,80.2098215265"
HID8,"12.9007644387,80.2279681457"
HID9,"12.9573627134,80.1435605087"
HID10,"13.0509809,80.2272879"
HID11,"13.0361426,80.2779054"
HID12,"12.9531946,80.1416008"
HID13,"12.8968355,80.2476588"
HID14,"13.033812,80.2591883"
HID15,"13.0385737,80.2399116"
HID16,"13.0805482,80.2685631"
HID17,"13.0338190663,80.2593426365"
HID18,"13.0145899014,80.2299189921"
HID19,"13.0825793,80.2706684"
HID20,"13.058550506,80.2630247683"
HID21,"13.0252880097,80.2684593274"
HID22,"12.9444612237,80.2420159885"
HID23,"13.0826802,80.2707184"
HID24,"12.9892033604,80.1930472697"
HID25,"13.0827279,80.266817"
HID26,"12.9229208,80.1134188"
HID27,"13.0429670684,80.2295642317"
HID28,"13.1196968,80.2185372"
HID29,"13.085547,80.2757934"
HID30,"12.967851457,79.9420904615"
HID31,"13.077187,80.2624594"
HID32,"13.0348718,80.2577892"
HID33,"13.04469,80.2422648685"
HID34,"13.0565057,80.240306"
HID35,"12.9735766,80.2512989"
HID36,"13.0525833767,80.2358223181"
HID37,"13.0533380278,80.2687952839"
HID38,"13.0826802,80.2707184"
HID39,"13.0290877,80.2529068"
HID40,"13.0449345,80.2408494"
HID41,"13.033703,80.2442694"
HID42,"13.0406339628,80.2437207694"
HID43,"13.065873,80.2755293"
HID44,"13.0839393,80.2705443"
HID45,"12.9938458247,80.1862465124"
HID46,"13.0380627,80.1596041"
HID47,"12.8341735,79.7036402"
HID48,"13.5016472553,83.3477783203"
HID49,"13.0347987,80.2623931"
HID50,"12.9222208714,80.1433350577"
HID51,"13.0391168,80.141768"
HID52,"12.9290107337,80.2329840009"
HID53,"13.0693795,80.1982519"
HID54,"13.0453249,80.2609216"
HID55,"12.9549875208,79.9318640007"
HID56,"12.9756725,80.2589316"
HID57,"13.0383183,80.13155"
HID58,"13.0625,80.2614"
HID59,"13.0826802,80.2707184"
HID60,"13.0669692,80.2595221"
HID61,"13.0290549,80.2526394"
