HID,Hotel,Price,Number of Reviews,Desirable
HID1,x,3000,28,3.6
HID2,x,3000,119,3.6
HID3,x,3000,50,3.4
HID4,x,3000,47,3.3
HID5,x,1900,10,3
HID6,x,1900,183,3.9
HID7,x,1900,25,4.6
HID8,x,1900,2,4.3
HID9,x,1730,84,3.7
HID10,x,1730,19,3.8
HID11,x,2100,3,4.2
HID12,x,2100,2,3
HID13,x,2100,15,3
HID14,x,2100,4,4.5
HID15,x,2100,31,3.7
HID16,x,2100,73,2.8
HID17,x,2100,3,3.2
HID18,x,2100,9,4.1
HID19,x,1500,1,2
HID20,x,1500,70,4.5
HID21,x,1500,80,4.2
HID22,x,1630,1,5
HID23,x,1630,3,2
HID24,x,1630,6,4.3
HID25,x,1630,1,1
HID26,x,1630,24,3.6
HID27,x,1800,10,3.4
HID28,x,1800,20,3.5
HID29,x,2300,261,3.8
HID30,x,2300,30,4.2
HID31,x,2300,14,4.4
HID32,x,1340,200,2.4
HID33,x,1340,17,4
HID34,x,1340,28,4.1
HID35,x,1340,12,4.6
HID36,x,2320,37,4.4
HID37,x,2320,8,4
HID38,x,2320,139,3.9
HID39,x,2320,1,5
HID40,x,2320,38,4.4
HID41,x,1827,102,4.3
HID42,x,1827,284,4.6
HID43,x,1827,124,4.3
HID44,x,1827,22,3.1
HID45,x,1827,4,3.8
HID46,x,1827,4,4.5
HID47,x,2674,3,4.9
HID48,x,2674,2,4.5
HID49,x,2674,9,3.8
HID50,x,2674,2,4.5
HID51,x,2674,13,3.6
HID52,x,1304,8,4.3
HID53,x,1304,33,4
HID54,x,1304,175,4.1
HID55,x,1304,576,4.3
HID56,x,1304,16,3.6
HID57,x,1490,43,3.9
HID58,x,1490,33,4.2
HID59,x,1490,18,4.2
HID60,x,2730,1,5
HID61,x,2730,29,3.9
