,"Lat,Lng"
0,"13.0437221,80.2632539"
1,"13.0707724,80.2543609"
2,"12.991932,80.244858"
3,"12.9758232,80.2639974"
4,"12.9848753,80.2574608"
5,"12.8797685,80.0782545"
6,"13.0609596,80.240471"
7,"12.9926039,80.2678153"
8,"13.0704486,80.2541999"
9,"13.0026,80.2640208"
10,"12.9137358,80.2478941"
11,"12.906134,80.2393415"
12,"13.0494675,80.2777625"
13,"12.822798,80.23942"
14,"13.0335858,80.2751059"
15,"13.0140107,80.1914055"
16,"12.7435038,80.2359602"
17,"12.8259311,80.2416269"
18,"13.0161715,80.0272549"
19,"13.0977346,80.2840358"
20,"13.0549155,80.2524594"
21,"13.0800175,80.2799096"
22,"13.129162,80.2941616"
23,"13.0335858,80.2751059"
24,"13.0337397,80.2670382"
25,"13.0584546,80.2616095"
26,"13.0528421,80.210946"
27,"13.042593,80.2180542"
28,"13.0538068,80.2743812"
29,"12.613111,79.3979135"
30,"12.9398606,79.7824909"
31,"12.8327662,79.734425"
32,"12.6729678,80.2013981"
33,"12.921593,79.983079"
34,"12.8706075,80.2442466"
35,"12.9233329,80.2081917"
36,"12.8914288,80.1002814"
37,"13.0223614,80.2461981"
38,"12.986294,80.1917947"
39,"13.1303101,80.2620995"
40,"12.9738429,80.2640051"
41,"12.9493535,80.2410762"
42,"13.0326985,80.2434087"
43,"12.9065063,80.2475769"
44,"12.9656421,80.2577495"
45,"13.1335029,80.2797423"
