PID,POIs
POI1,MARINA BEACH
POI2,GOVERNMENT MUSEUM
POI3,MGR FILM CITY
POI4,BREEZY BEACH
POI5,MARUNDEESWARAR TEMPLE
POI6,ARIGNAR ANNA ZOOLOGICAL PARK
POI7,VALLUVAR KOTTAM
POI8,ASHTALAKSHMI TEMPLE
POI9,CONNEMARA PUBLIC LIBRARY
POI10,ELLIOT'S BEACH
POI11,VGP GOLDEN BEACH
POI12,ISKCON (HARE RAMA HARE KRISHNA) TEMPLE
POI13,VIVEKANANDA HOUSE
POI14,DAKSHINACHITRA MUSEUM
POI15,SANTHOME CATHEDRAL BASILICA
POI16,MADRAS WAR CEMETERY
POI17,MADRAS CROCODILE BANK TRUST
POI18,MGM DIZZEE WORLD
POI19,SHIRDI SAI BABA TEMPLE
POI20,PRAKASAM SALAI
POI21,THOUSAND LIGHTS MOSQUE
POI22,FORT STGEORGE
POI23,ROYAPURAM FISHING HARBOUR
POI24,SANTHOME CHURCH
POI25,KAPALEESWARAR TEMPLE
POI26,EXPRESS AVENUE
POI27,VADAPALANI MURUGAN TEMPLE
POI28,T NAGAR
POI29,PARTHASARATHY TEMPLE
POI30,PARASAILING
POI31,SCUBA DIVING 
POI32,CAMPING 
POI33,PARAGLIDING
POI34,SURFING
POI35,PAINTBALL 
POI36,ROCK CLIMBING 
POI37,JUNGLE SAFARI 
POI38,BOATING 
POI39,ANJANEYAR TEMPLE NANGANALLUR
POI40,FISHING 
POI41,THIRUVANMIYUR BEACH
POI42,NEELANKARAI BEACH
POI43,SANTHOME BEACH
POI44,PEBBLE BEACH
POI45,PALAVAKKAM BEACH
POI46,KASIMEDU BEACH
