PID,POIs,Time 1,Time 2,In time 1,In time 2,Out time 1,Out time 2
POI1,MARINA BEACH,23:59,,00:00,,23:59,
POI2,"GOVERNMENT MUSEUM, CHENNAI",7:30,,09:30,,17:00,
POI3,MGR FILM CITY,,,,,,
POI4,BREEZY BEACH,23:59,,00:00,,23:59,
POI5,MARUNDEESWARAR TEMPLE,11:00,,09:00,,20:00,
POI6,ARIGNAR ANNA ZOOLOGICAL PARK,8:00,,09:00,,17:00,
POI7,VALLUVAR KOTTAM,9:00,,08:30,,17:30,
POI8,ASHTALAKSHMI TEMPLE,5:30,,06:30,,12:00,
POI9,CONNEMARA PUBLIC LIBRARY,22:30,,09:00,,07:30,
POI10,ELLIOT'S BEACH,23:59,,00:00,,23:59,
POI11,VGP GOLDEN BEACH,23:59,,00:00,,23:59,
POI12,ISKCON (HARE RAMA HARE KRISHNA) TEMPLE,4:45,,04:30,,09:15,
POI13,VIVEKANANDA HOUSE,2:30,4:15,10:00,15:00,12:30,19:15
POI14,DAKSHINACHITRA MUSEUM,20:00,,10:00,,06:00,
POI15,SANTHOME CATHEDRAL BASILICA,15:00,,06:00,,21:00,
POI16,MADRAS WAR CEMETERY,10:00,,08:00,,18:00,
POI17,MADRAS CROCODILE BANK TRUST,8:30,1:30,09:00,19:00,17:30,20:30
POI18,MGM DIZZEE WORLD,8:00,,10:30,,18:30,
POI19,SHIRDI SAI BABA TEMPLE,8:15,5:30,05:45,15:30,14:00,21:00
POI20,PRAKASAM SALAI,10:00,,10:00,,20:00,
POI21,THOUSAND LIGHTS MOSQUE,15:30,,05:30,,21:00,
POI22,FORT STGEORGE,8:00,,09:00,,17:00,
POI23,ROYAPURAM FISHING HARBOUR,15:00,,04:00,,19:00,
POI24,SANTHOME CHURCH,15:00,,06:00,,21:00,
POI25,KAPALEESWARAR TEMPLE,17:00,,05:00,,22:00,
POI26,EXPRESS AVENUE,11:00,,10:30,,21:30,
POI27,VADAPALANI MURUGAN TEMPLE,7:00,5:00,05:00,16:00,12:00,21:00
POI28,T NAGAR,11:00,,09:00,,20:00,
POI29,PARTHASARATHY TEMPLE,6:30,5:00,05:30,16:00,12:00,21:00
POI30,PARASAILING IN CHENNAI,8:00,,10:00,,18:00,
POI31,SCUBA DIVING IN CHENNAI,3:00,15:30,10:00,02:30,13:00,18:00
POI32,CAMPING IN CHENNAI,23:59,,00:00,,23:59,
POI33,PARAGLIDING IN CHENNAI,8:00,,10:00,,18:00,
POI34,SURFING IN CHENNAI,10:00,8:30,06:00,09:30,16:00,18:00
POI35,PAINTBALL IN CHENNAI,12:00,,09:00,,21:00,
POI36,ROCK CLIMBING IN CHENNAI,16:00,,06:00,,22:00,
POI37,JUNGLE SAFARI IN CHENNAI,8:00,,09:00,,17:00,
POI38,BOATING IN CHENNAI,17:00,,06:00,,23:00,
POI39,ANJANEYAR TEMPLE NANGANALLUR,7:00,4:30,05:00,16:30,12:00,21:00
POI40,FISHING IN CHENNAI,5:59,,18:00,,23:59,
POI41,THIRUVANMIYUR BEACH,23:59,,00:00,,23:59,
POI42,NEELANKARAI BEACH,23:59,,00:00,,23:59,
POI43,SANTHOME BEACH,23:59,,00:00,,23:59,
POI44,PEBBLE BEACH,23:59,,00:00,,23:59,
POI45,PALAVAKKAM BEACH,23:59,,00:00,,23:59,
POI46,KASIMEDU BEACH,23:59,,00:00,,23:59,
