PID,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,POI11,POI12,POI13,POI14,POI15,POI16,POI17,POI18,POI19,POI20,POI21,POI22,POI23,POI24,POI25,POI26,POI27,POI28,POI29,POI30,POI31,POI32,POI33,POI34,POI35,POI36,POI37,POI38,POI39,POI40,POI41,POI42,POI43,POI44,POI45,POI46,POI47,POI48,POI49
POI1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI2,10.17121379,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI3,5.099973989,13.28332586,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI4,3.050664255,9.956203572,3.368568102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI5,7.95879246,2.920570899,11.85500381,8.497171559,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI6,2.776833842,12.49835957,6.223336046,5.473492164,9.99442311,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI7,0.9105998447,10.66060365,4.191374939,2.465075012,8.600612812,3.022226288,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI8,6.997641456,7.854124815,6.822443187,4.494509123,7.809653195,9.72111622,6.740258346,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI9,5.461019192,15.61307298,5.990944536,7.0555072,13.25831142,3.403179651,5.151710174,11.54765402,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI10,1.891021392,11.93682642,5.310583147,4.425334389,9.569823329,1.053594987,1.988033583,8.717769746,3.692302299,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI11,10.97376005,1.700268374,13.50889246,10.2919393,4.465342412,13.47027664,11.3496844,7.465623289,16.43212776,12.81202333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI12,1.85415975,8.327697381,6.028259515,3.033528456,6.218256004,4.463526333,2.384189966,5.831528217,7.31514595,3.702783361,9.121862723,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI13,3.597650698,10.30714686,2.976472581,0.6110494216,8.970178736,5.899600629,2.938366974,4.362814197,7.226720549,4.846136098,10.55696172,3.641245759,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI14,4.838976678,14.37449514,7.556891531,7.406704233,11.75809347,2.063653644,5.009094243,11.74488148,2.726806174,3.027250689,15.4218094,6.507128751,7.777162408,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI15,4.351859499,5.820573234,8.109011674,4.782928381,3.78348322,6.757077967,4.888441221,5.470913189,9.794929548,6.129367327,6.713274108,2.518897722,5.300078421,8.719619295,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
