HID,"Lat,Lng"
HID1,"28.6505881342,77.1946919955"
HID2,"28.519884478,77.0836660624"
HID3,"28.5482235,77.2393398"
HID4,"28.5561624,77.0999578"
HID5,"28.6412478,77.2115913"
HID6,"28.5706494,77.221724"
HID7,"28.6429575,77.2125569"
HID8,"28.5279579,77.289785"
HID9,"28.6429341,77.2104942"
HID10,"28.6410513,77.2131881"
HID11,"28.6511623,77.2341293"
HID12,"28.553539175,77.244036232"
HID13,"28.5660031799,77.268704"
HID14,"28.5143206215,77.0927637017"
HID15,"28.5483727,77.1266803"
HID16,"28.5314115538,77.1032014151"
HID17,"28.5678123,77.2616473"
HID18,"28.576227392,77.2324077202"
HID19,"28.6459685892,77.1879702784"
HID20,"28.6485985608,77.2289032893"
HID21,"28.5358203723,77.2056515751"
HID22,"28.6287250951,77.2148025366"
HID23,"28.5230679153,77.2080070979"
HID24,"28.551361,77.1327991006"
HID25,"28.5485912138,77.2367885804"
HID26,"28.5714406988,77.2216040581"
HID27,"28.5204565972,77.2016492209"
HID28,"28.7277254,77.0928795"
HID29,"28.6302760045,77.1135592363"
HID30,"28.6408355302,77.2153297258"
HID31,"28.6462096,77.1957825"
HID32,"28.5625942802,77.1889637636"
HID33,"28.543955,77.229504"
HID34,"28.5293293,77.2187648"
HID35,"28.5367732,77.25745"
HID36,"28.6445446924,77.1878381766"
HID37,"28.56402016,77.19050598"
HID38,"28.5593151923,77.2063726012"
HID39,"28.5278222264,77.2204269179"
HID40,"28.5632857,77.1911547"
HID41,"28.6462838,77.214768"
HID42,"28.6480367,77.2129871"
HID43,"28.6471419,77.186798"
HID44,"28.6480367,77.2129871"
HID45,"28.6285014,77.2334456"
HID46,"28.6455966,77.1855916"
HID47,"28.6430266,77.2105123"
HID48,"28.6338707863,77.2210547037"
HID49,"28.653002,77.1923631"
HID50,"28.5221074,77.2153169"
HID51,"28.6471514,77.1877684"
HID52,"28.6458711,77.2155578"
HID53,"28.65941811,77.0916214"
HID54,"28.6480367,77.2129871"
HID55,"28.6471694097,77.1895691793"
HID56,"28.6456119,77.2127435"
HID57,"28.6410929764,77.2136355611"
HID58,"28.6457211,77.2166539"
HID59,"28.5652109,77.270017"
HID60,"28.5561624,77.0999578"
HID61,"28.5637589,77.2343103"
HID62,"28.80421448,77.14267731"
HID63,"28.5822668215,77.2512259521"
HID64,"28.6472667,77.1921117"
HID65,"28.5551246438,77.2236351779"
HID66,"28.6047,77.2233"
HID67,"28.5415895,77.2402375"
HID68,"28.556550297,77.2330687797"
HID69,"28.6304101,77.216085"
HID70,"28.5253830058,77.0980422424"
HID71,"28.641037,77.212831"
HID72,"28.640776,77.2091298"
HID73,"28.5554975964,77.2755163113"
HID74,"28.6413531,77.2117879"
HID75,"28.5345021746,77.1001811818"
HID76,"28.6847715,77.191862"
HID77,"28.5595639,77.2679968"
HID78,"28.6465666107,77.1863190919"
HID79,"28.50799536,77.2094910862"
HID80,"28.5730729,77.2588478"
HID81,"28.6468374,77.1845518"
HID82,"28.6614021928,77.2205532969"
HID83,"28.6428529,77.1731739"
HID84,"28.6458876069,77.2158530403"
HID85,"28.5699436,77.2207531"
HID86,"28.5831394,77.0577574"
HID87,"28.594995619,77.214360391"
HID88,"28.617848,77.211335"
HID89,"28.6416293067,77.2148807396"
HID90,"28.64577,77.1901283"
HID91,"28.5426683,77.2460266"
HID92,"28.6139391,77.2090212"
HID93,"28.6459333462,77.2155044256"
HID94,"28.65069199,77.11999512"
HID95,"28.6458287509,77.2159806253"
HID96,"28.645395,77.188715"
HID97,"28.6435638018,77.2130873991"
HID98,"28.6480367,77.2129871"
HID99,"28.648933,77.188719"
HID100,"28.6461760983,77.2140004446"
HID101,"28.557652,77.29443"
HID102,"28.6219296078,77.0828790955"
HID103,"28.5681666419,77.1897725138"
HID104,"28.5434687509,77.2923265304"
HID105,"28.5741278,77.1609347"
HID106,"28.6017,77.2286"
HID107,"28.6418767,77.2132443"
HID108,"28.6475183,77.1922183"
