HID,Price,Number of Reviews,Desirable
HID1,2400,550,4
HID2,2400,218,4.2
HID3,2400,36,3.8
HID4,2400,18,2.1
HID5,2400,47,4.2
HID6,2750,2,2.8
HID7,2750,32,3.7
HID8,2750,1,1
HID9,1467,3,4.7
HID10,1467,72,4.2
HID11,1467,13,3
HID12,2000,23,3.2
HID13,2000,1,4.6
HID14,2000,11,3.1
HID15,1679,2,4.5
HID16,1679,35,4.4
HID17,1679,97,4.2
HID18,1950,52,4.3
HID19,1950,14,3.9
HID20,1950,8,4.3
HID21,1950,12,3.3
HID22,1950,181,4
HID23,1750,53,4.1
HID24,1750,6,4.3
HID25,1750,2,4.3
HID26,2300,10,4
HID27,2300,3,3.2
HID28,2300,1,4
HID29,2300,171,4
HID30,1450,16,2.9
HID31,1450,10,3.7
HID32,1450,8,3.9
HID33,1450,1,2.6
HID34,1800,71,3.9
HID35,1800,1,5
HID36,1800,71,4
HID37,2250,1,3
HID38,2250,91,4.1
HID39,2250,359,4.2
HID40,2600,16,4
HID41,2600,90,4
HID42,2600,4,3.1
HID43,1350,1,1
HID44,1350,3,2.9
HID45,1350,12,3.4
HID46,3500,13,3.3
HID47,3500,3,4.2
HID48,3500,1,3
HID49,3200,13,3.8
HID50,3200,5,2.2
HID51,3200,3,3.7
HID52,3200,70,3.7
HID53,3100,14,4
HID54,3100,5,2.6
HID55,3100,43,3.6
HID56,3100,5,2
HID57,2850,40,3.1
HID58,2850,33,2.7
HID59,2850,19,4
HID60,2850,1,4.6
HID61,2450,8,4.2
HID62,2450,54,4.2
HID63,2450,62,3.6
HID64,2450,7,4.4
HID65,1290,33,3.9
HID66,1290,10,4.9
HID67,1290,14,3.1
HID68,1290,7,4.7
HID69,3200,10,2.7
HID70,3200,235,4.2
HID71,3200,14,3.6
HID72,3100,59,4.3
HID73,3100,14,4.4
HID74,3100,144,3.7
HID75,2700,41,4.1
HID76,2700,1,1
HID77,2700,8,4.4
HID78,1560,17,3.7
HID79,1560,5,4.6
HID80,1560,34,4.2
HID81,1560,21,4.1
HID82,1670,2,2.8
HID83,1670,58,4
HID84,1670,87,3
HID85,1670,6,2.7
HID86,1670,30,3.6
HID87,2687,153,4.1
HID88,2687,9,3.4
HID89,2687,5,4
HID90,2687,13,3.8
HID91,3600,17,3.4
HID92,3600,2,5
HID93,3600,71,3.4
HID94,3600,10,4.5
HID95,2500,34,3.5
HID96,2500,7,3.3
HID97,2500,508,3.8
HID98,2500,12,3.4
HID99,2500,68,4.1
HID100,2300,39,3.1
HID101,2300,21,3.7
HID102,2300,4,2.3
HID103,2600,13,3.1
HID104,2600,1,5
HID105,2600,31,3.9
HID106,2600,18,4.1
HID107,1920,5,3.7
HID108,1920,7,3.9
