,"Lat,Lng"
0,"28.6090561,77.2226051"
1,"28.5244754,77.1829457"
2,"28.6126735,77.274687"
3,"28.5932848,77.2481743"
4,"28.5501009,77.1763868"
5,"28.6332086,77.215374"
6,"28.6101926,77.231843"
7,"28.553492,77.2562515"
8,"28.6561592,77.2384454"
9,"28.626062,77.222462"
10,"28.513403,77.1949478"
11,"28.5930959,77.2171045"
12,"28.5926939,77.2543966"
13,"28.6513731,77.2110377"
14,"28.5731414,77.2048936"
15,"28.6665512,77.1329929"
16,"28.5978657,77.1842989"
17,"28.6026787,77.1962031"
18,"28.5849873,77.1788358"
19,"28.5916109,77.2393636"
20,"28.6270547,77.2140518"
21,"28.6065946,77.2405758"
22,"28.5202041,77.1851041"
23,"28.4678664,77.0663117"
24,"28.5683766,77.1532102"
25,"28.6143478,77.1968551"
26,"28.6507629,77.2310281"
27,"28.5754742,77.187394"
28,"28.6289016,77.2049872"
29,"28.6351142,76.9906901"
30,"28.6005073,77.2236776"
31,"28.6443758,77.2026356"
32,"28.6348956,77.1983033"
33,"28.5688404,77.2226061"
34,"28.5893011,77.2079933"
35,"28.6095744,77.2411622"
36,"28.7241643,77.1110448"
37,"28.6189344,77.2415475"
38,"28.6406214,77.2469253"
39,"28.6119078,77.216716"
40,"28.6136111,77.2399251"
41,"28.5142911,77.2575432"
42,"28.6022684,77.1960265"
43,"28.6130969,77.2230819"
44,"28.5966393,77.0782496"
45,"28.6687474,77.2221059"
46,"28.5247462,77.1823911"
47,"28.6026399,77.1961957"
48,"28.5032392,77.1769221"
