PID,POIs
POI1,India Gate
POI2,Qutub Minar
POI3,Akshardham Temple Delhi
POI4,Humayun's Tomb
POI5,Hauz Khas Village
POI6,Museum of Illusions
POI7,"National Gallery Of Modern Art, Delhi"
POI8,Lotus Temple
POI9,Red Fort
POI10,Agrasen ki Baoli
POI11,Garden of Five Senses
POI12,Lodhi Garden
POI13,Waste to Wonder Park
POI14,Chandni Chowk
POI15,Dilli Haat
POI16,Bharat Darshan Park
POI17,Gurudwara Bangla Sahib
POI18,Pradhanmantri Sangrahalaya
POI19,"Rail Museum, Delhi"
POI20,Nizamuddin Dargah
POI21,"Jantar Mantar, Delhi"
POI22,Delhi Zoo
POI23,Mehrauli Archaeological Park
POI24,Kingdom of Dreams
POI25,"Mughal Gardens, Delhi"
POI26,Rashtrapati Bhavan
POI27,Jama Masjid Delhi
POI28,Sarojini Market
POI29,Connaught Place
POI30,ISKCON Temple Delhi
POI31,Khan Market
POI32,Paharganj
POI33,Birla Mandir Delhi
POI34,Lajpat Nagar
POI35,Safdarjung Tomb
POI36,Purana Qila
POI37,Adventure Island
POI38,Pragati Maidan
POI39,Rajghat
POI40,"National Museum, Delhi"
POI41,Crafts Museum
POI42,Tughlaqabad Fort
POI43,Teen Murti Bhavan
POI44,Rajpath
POI45,Sulabh International Museum of Toilets
POI46,Nicholson Cemetery
POI47,Iron Pillar
POI48,Nehru Memorial Museum and Library
POI49,Chhatarpur Mandir
