PID,POIs,Time 1,Time 2,In time 1,In time 2,Out time 1,Out time 2
POI1,India Gate,23:59,,00:00,,23:59,
POI2,Qutub Minar,07:00,,10:00,,17:00,
POI3,Akshardham Temple Delhi,10:00,,10:00,,20:00,
POI4,Humayun's Tomb,08:00,,10:00,,18:00,
POI5,Hauz Khas Village,09:30,,10:30,,20:00,
POI6,Museum of Illusions,09:00,,11:00,,20:00,
POI7,"National Gallery Of Modern Art, Delhi",07:30,,11:00,,18:30,
POI8,Lotus Temple,08:00,,09:30,,17:30,
POI9,Red Fort,10:30,,07:00,,17:30,
POI10,Agrasen ki Baoli,11:00,,07:00,,18:00,
POI12,Garden of Five Senses,06:00,,09:00,,15:00,
POI13,Lodhi Garden,13:30,,06:00,,19:30,
POI14,Waste to Wonder Park,12:00,,11:00,,23:00,
POI15,Chandni Chowk,09:00,,10:00,,19:00,
POI16,Dilli Haat,11:30,,10:30,,22:00,
POI17,Bharat Darshan Park,12:00,,10:00,,22:00,
POI18,Gurudwara Bangla Sahib,23:59,,00:00,,23:59,
POI19,Pradhanmantri Sangrahalaya,08:00,,10:00,,18:00,
POI20,"Rail Museum, Delhi",07:00,,10:00,,17:00,
POI21,Nizamuddin Dargah,17:30,,05:00,,22:30,
POI22,"Jantar Mantar, Delhi",12:00,,06:00,,18:00,
POI23,Delhi Zoo,06:00,,08:30,,14:30,
POI24,Mehrauli Archaeological Park,11:00,,07:00,,18:00,
POI25,Kingdom of Dreams,10:50,,12:30,,23:20,
POI26,"Mughal Gardens, Delhi",06:30,,10:00,,16:30,
POI27,Rashtrapati Bhavan,07:00,,09:00,,16:00,
POI28,Jama Masjid Delhi,05:00,05:00,07:00,13:30,12:00,18:30
POI29,Sarojini Market,09:00,,11:00,,20:00,
POI30,Connaught Place,13:00,03:30,11:00,18:00,,21:30
POI32,ISKCON Temple Delhi,16:30,,04:30,,21:00,
POI33,Khan Market,13:00,,10:00,,23:00,
POI34,Paharganj,23:59,,00:00,,23:59,
POI35,Birla Mandir Delhi,09:00,06:30,04:30,14:30,13:30,21:00
POI36,Lajpat Nagar,11:00,,11:00,,22:00,
POI37,Safdarjung Tomb,11:00,,07:00,,18:00,
POI38,Purana Qila,11:00,,07:00,,18:00,
POI39,Adventure Island,08:00,,11:00,,19:00,
POI40,Pragati Maidan,09:00,,11:00,,20:00,
POI41,Rajghat,10:30,,06:30,,17:00,
POI42,"National Museum, Delhi",08:00,,10:00,,18:00,
POI44,Crafts Museum,07:00,,10:00,,17:00,
POI45,Tughlaqabad Fort,10:00,,07:00,,17:00,
POI46,Teen Murti Bhavan,04:30,,11:30,,16:00,
POI47,Rajpath,23:59,,00:00,,23:59,
POI48,Sulabh International Museum of Toilets,07:00,,10:00,,17:00,
POI49,Nicholson Cemetery,23:59,,00:00,,23:59,
POI50,Iron Pillar,07:00,,10:00,,17:00,
POI51,Nehru Memorial Museum and Library,07:00,,10:00,,17:00,
POI52,Chhatarpur Mandir,16:00,,06:00,,22:00,
