PID,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,POI11,POI12,POI13,POI14,POI15,POI16,POI17,POI18,POI19,POI20,POI21,POI22,POI23,POI24,POI25,POI26,POI27,POI28,POI29,POI30,POI31,POI32,POI33,POI34,POI35,POI36,POI37,POI38,POI39,POI40,POI41,POI42,POI43,POI44,POI45,POI46,POI47
POI1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI2,6.707951076,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI3,9.945464833,5.775181926,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI4,65.2900264,60.97404471,55.67326965,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI5,2.975819871,9.664118251,12.68499274,67.60484252,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI6,6.474279344,13.18215203,15.7173019,69.78378781,3.555800471,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI7,16.94939669,22.19881276,26.77832347,82.22598393,14.6891621,13.24224329,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI8,17.49646349,14.51064652,8.7356277,47.90559215,19.70351036,21.96485771,34.35957294,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI9,0.6837998354,7.39118525,10.50306951,65.73067422,2.306449873,5.790969434,16.49555689,17.89110442,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI10,64.5414424,57.86535689,56.02724579,46.92495347,67.51427761,70.9867812,78.31677435,54.39011904,65.21908422,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI11,11.92350598,10.127071,4.94495014,53.60592209,14.0176668,16.27396989,28.69385326,5.705602693,12.27452236,58.10976556,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI12,0.3811328469,6.326842958,9.634484227,65.03708224,3.353197635,6.855409069,17.21758693,17.27436202,1.064810211,64.16235634,11.73002838,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI13,11.79334701,5.224217638,5.268616506,56.75642408,14.76915216,18.2258021,27.27650764,12.48850927,12.46700988,52.76099694,10.0903826,11.4163848,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI14,15.97631435,22.68376799,24.9002043,77.10599852,13.02836931,9.504529424,12.43843454,30.04348668,15.2936833,80.47900725,24.56819389,16.35732546,27.72074877,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI15,5.097231385,11.68650688,13.76357054,67.67374621,2.682317225,2.111839201,15.19408169,19.85428673,4.436729291,69.3028977,14.16574797,5.464978733,16.57670307,11.21065329,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI16,10.12447485,5.738040468,0.3268446727,55.58187339,12.89035977,15.95362505,26.9204147,8.790969554,10.6922524,55.7286296,5.187116066,9.807471252,4.975920225,25.16200752,14.01195777,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI17,9.901213488,6.009402578,0.4099502899,55.61307188,12.5969833,15.57614421,26.77858801,8.514721146,10.44259165,56.29719785,4.557781338,9.599705876,5.67854798,24.71072076,13.60219988,0.7194827392,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI18,0.8302404873,7.536997928,10.66715925,65.88573367,2.149377233,5.645972993,16.34027584,18.04181272,0.1645188295,65.37116748,12.4205116,1.210771023,12.6212437,15.14685863,4.324499745,10.85658731,10.6061043,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI19,1.390867483,8.098681896,11.11435448,66.21905597,1.615377094,5.08347593,16.01418338,18.34672393,0.7075685745,65.92441817,12.69693672,1.771997513,13.17023501,14.58612849,3.77559015,11.31197105,11.04006952,0.5659756397,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI20,0.8557791234,7.550954173,10.73556445,65.97426599,2.121285862,5.636323564,16.25203524,18.13476995,0.2437932925,65.39369965,12.51711286,1.23191803,12.64816603,15.13343537,4.351627048,10.92284541,10.67772573,0.1098350233,0.5773505413,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI21,4.884882964,2.531882948,5.436755628,61.10867571,7.833993729,11.22129564,21.40325616,13.81765625,5.532021678,59.77904979,8.794098514,4.524584544,7.032600965,20.70045586,9.544308121,5.54507548,5.503993183,5.692791074,6.219323225,5.73502492,0,,,,,,,,,,,,,,,,,,,,,,,,,,
POI22,2.916589572,9.584740257,12.68613707,67.6621529,0.1860606383,3.667040786,14.61462189,19.76446416,2.258394304,67.44245884,14.08391575,3.290374134,14.70523806,13.11948578,2.859659301,12.88778267,12.60402795,2.097860765,1.58489043,2.060934928,7.790399033,0,,,,,,,,,,,,,,,,,,,,,,,,,
POI23,66.59065436,59.93764168,57.9133211,45.87888632,69.56607913,73.01636783,80.60391959,55.93917666,67.26535283,2.802229376,59.82847847,66.21288309,54.79854376,82.49330242,71.29818443,57.61974411,58.17186912,67.41918331,67.9687786,67.44479969,61.79728813,69.49906377,0,,,,,,,,,,,,,,,,,,,,,,,,
POI24,2.095466547,8.372124072,10.62798501,65.31534561,2.304409465,5.118351236,16.99353955,17.41070866,1.633128287,65.96581368,11.71922772,2.392600004,13.23100751,14.52526252,3.34619806,10.85548968,10.50557991,1.629575983,1.404348188,1.723191978,6.198433422,2.386935435,67.96952888,0,,,,,,,,,,,,,,,,,,,,,,,
POI25,34.39042221,27.82975976,25.55536376,43.03912426,37.36276183,40.760841,49.32617409,24.50124405,35.05637117,30.4896917,27.7188235,34.01694077,22.62316071,50.20168832,38.99295935,25.26074399,25.81778971,35.21364245,35.75357377,35.24619141,29.54618588,37.30689141,32.35974759,35.68035884,0,,,,,,,,,,,,,,,,,,,,,,
