HID,Hotel,Price,Number of Reviews,Desirable
HID1,G,1798,22,4
HID2,G,1200,23,1
HID3,G,1300,24,2
HID4,G,1400,25,2.4
HID5,G,1410,26,2.4
HID6,G,1420,27,3.4
HID7,G,1430,28,4.1
HID8,G,1440,29,2
HID9,G,1450,30,2
HID10,G,1460,31,2
HID11,G,1470,32,3
HID12,G,1480,33,3
HID13,G,1490,34,1.5
HID14,G,1500,35,1.5
HID15,G,1982,36,2
HID16,G,2000,37,2
HID17,G,2018,38,2
HID18,G,2036,39,2
HID19,G,2054,40,2
HID20,G,2072,41,2
HID21,G,2090,42,2
HID22,G,2108,43,2
HID23,G,2126,44,2
HID24,G,2144,45,2
HID25,G,2162,46,2
HID26,G,2180,47,2
HID27,G,2198,48,3.5
HID28,G,2216,49,3.5
HID29,G,2234,50,4.6
HID30,G,2252,51,5
HID31,G,2270,52,1
HID32,G,2288,53,4
HID33,G,2306,54,2.4
HID34,G,2324,55,2.4
HID35,G,2342,56,2.4
HID36,G,2360,57,3.4
HID37,G,2378,58,3.4
HID38,G,2396,59,2
HID39,G,2414,60,2
HID40,G,2432,61,2
HID41,G,2450,62,1.6
HID42,G,2468,63,4.6
HID43,G,2486,64,5
HID44,G,2504,65,2
HID45,G,2522,66,4
HID46,G,2540,67,3
HID47,G,2558,68,3
HID48,G,2576,69,3
HID49,G,2594,70,1.5
HID50,G,2612,71,1.5
HID51,G,2630,72,2
HID52,G,2648,73,2
HID53,G,2666,74,2
HID54,G,2684,75,1.6
HID55,G,2702,76,4.6
HID56,G,2720,77,5
HID57,G,2738,78,2
HID58,G,2756,79,4
HID59,G,2774,80,2
HID60,G,2792,81,2
HID61,G,2810,82,2
HID62,G,2828,83,2
HID63,G,2846,84,2
HID64,G,2864,85,2
HID65,G,2882,86,2
HID66,G,2900,87,2
HID67,G,2918,88,1.6
HID68,G,2936,89,4.6
HID69,G,2954,90,5
HID70,G,2972,91,2
HID71,G,2990,92,4
HID72,G,3008,93,2
HID73,G,3026,94,2
HID74,G,3044,95,2
HID75,G,3062,96,3.5
HID76,G,3080,97,3.5
HID77,G,3098,98,3.5
HID78,G,3116,99,3.5
HID79,G,3134,100,3.5
HID80,G,3152,101,1.6
HID81,G,3170,102,3.5
HID82,G,3188,103,2
HID83,G,3206,104,1
HID84,G,3224,105,2.4
HID85,G,3242,106,2.4
HID86,G,3260,107,3.4
HID87,G,3278,108,3.4
HID88,G,3296,109,4.1
HID89,G,3314,110,4.1
HID90,G,3332,111,2
HID91,G,3350,112,3.5
HID92,G,3368,113,2
HID93,G,3386,114,3
HID94,G,3404,115,3
HID95,G,3422,116,3
HID96,G,3440,117,1.5
HID97,G,3458,118,1.5
HID98,G,3476,119,1.5
HID99,G,3494,120,1.5
HID100,G,3512,121,2
HID101,G,3530,122,3.5
HID102,G,3548,123,2
HID103,G,3566,124,2
HID104,G,3584,125,2
HID105,G,3602,126,2
HID106,G,3620,127,2
HID107,G,3638,128,2
HID108,G,3656,129,2
HID109,G,3674,130,2
HID110,G,3692,131,2
HID111,G,3710,132,3.5
HID112,G,3728,133,2
HID113,G,3746,134,2
HID114,G,3764,135,2
HID115,G,3782,136,3.5
HID116,G,3800,137,3.5
HID117,G,3818,138,3.5
HID118,G,3836,139,3.5
HID119,G,3854,140,3.5
HID120,G,3872,141,3.5
HID121,G,3890,142,3
HID122,G,3908,143,2
HID123,G,3926,144,3.5
HID124,G,3944,145,3.4
HID125,G,3962,146,3.4
HID126,G,3980,147,4.1
HID127,G,3998,148,4.1
HID128,G,4016,149,2
HID129,G,4034,150,2
HID130,G,4052,151,2
HID131,G,4070,152,2
HID132,G,4088,153,2
HID133,G,4106,154,3
HID134,G,4124,155,3.5
HID135,G,4142,156,1.5
HID136,G,4160,157,1.5
HID137,G,4178,158,1.5
HID138,G,4196,159,1.5
HID139,G,4214,160,2
HID140,G,4232,161,2
HID141,G,4250,162,2
HID142,G,4268,163,2
HID143,G,4286,164,2
HID144,G,4304,165,2
HID145,G,4322,166,3.5
HID146,G,4340,167,2
HID147,G,4358,168,2
HID148,G,4376,169,2
HID149,G,4394,170,2
HID150,G,4412,171,2
HID151,G,4430,172,2
HID152,G,4448,173,2
HID153,G,4466,174,2
HID154,G,4484,175,2
HID155,G,4502,176,2
HID156,G,4520,177,3.5
HID157,G,4538,178,3.5
HID158,G,4556,179,3.5
HID159,G,4574,180,3.5
HID160,G,4592,181,3.5
HID161,G,4610,182,3.5
HID162,G,4628,183,3.5
HID163,G,4646,184,3.5
HID164,G,4664,185,3.5
HID165,G,4682,186,2.4
HID166,G,4700,187,3.7
HID167,G,4718,188,3
HID168,G,4736,189,3.3
HID169,G,4754,190,4.1
HID170,G,4772,191,4
HID171,G,4790,192,4.1
HID172,G,4808,193,4.1
HID173,G,4826,194,2
HID174,G,4844,195,2
HID175,G,4862,196,2
HID176,G,4880,197,3
HID177,G,4898,198,3.7
HID178,G,4916,199,3
HID179,G,4934,200,3.3
HID180,G,4952,201,1.5
HID181,G,4970,202,4
HID182,G,4988,203,1.5
HID183,G,5006,204,1.5
HID184,G,5024,205,2
HID185,G,5042,206,2
HID186,G,5060,207,2
HID187,G,5078,208,2
HID188,G,5096,209,3.7
HID189,G,5114,210,3
HID190,G,5132,211,3.3
HID191,G,5150,212,2
HID192,G,5168,213,4
HID193,G,5186,214,2
HID194,G,5204,215,2
HID195,G,5222,216,2
HID196,G,5240,217,2
HID197,G,5258,218,2
HID198,G,5276,219,2
HID199,G,5294,220,3.7
HID200,G,5312,221,3
HID201,G,5330,222,3.3
HID202,G,5348,223,3.5
HID203,G,5366,224,4
HID204,G,5384,225,3.5
HID205,G,5402,226,3.5
HID206,G,5420,227,3.5
HID207,G,5438,228,3.5
HID208,G,5456,229,3.5
HID209,G,5474,230,4.4
HID210,G,5492,231,2.4
HID211,G,5510,232,2.6
HID212,G,5528,233,2.4
HID213,G,5546,234,3.4
HID214,G,5564,235,3.4
HID215,G,5582,236,3.7
HID216,G,5600,237,4.1
HID217,G,5618,238,4.6
HID218,G,5636,239,2
HID219,G,5654,240,4.4
HID220,G,5672,241,3
HID221,G,5690,242,2.6
HID222,G,5708,243,3
HID223,G,5726,244,3
HID224,G,5744,245,1.5
HID225,G,5762,246,3.7
HID226,G,5780,247,1.5
HID227,G,5798,248,4.6
HID228,G,5816,249,2
HID229,G,5834,250,4.4
HID230,G,5852,251,2
HID231,G,5870,252,2.6
HID232,G,5888,253,2
HID233,G,5906,254,2
HID234,G,5924,255,2
HID235,G,5942,256,3.7
HID236,G,5960,257,2
HID237,G,2500,258,4.6
HID238,G,2511,259,2
HID239,G,2522,260,4.4
HID240,G,2533,261,2
HID241,G,2544,262,2.6
HID242,G,2555,263,3.5
HID243,G,2566,264,3.5
HID244,G,2577,265,3.5
HID245,G,2588,266,3.7
HID246,G,2599,267,3.5
HID247,G,2610,268,4.6
HID248,G,2621,269,3.5
HID249,G,2632,270,5
HID250,G,2643,271,2.4
HID251,G,2654,272,3.4
HID252,G,2665,273,3.4
HID253,G,2676,274,4.7
HID254,G,2687,275,5
HID255,G,2698,276,3
HID256,G,2709,277,1.5
HID257,G,2720,278,1.5
HID258,G,2731,279,4.7
HID259,G,2742,280,5
HID260,G,2753,281,2
HID261,G,2764,282,2
HID262,G,2775,283,2
HID263,G,2786,284,4.7
HID264,G,2797,285,5
HID265,G,2808,286,3.5
HID266,G,2819,287,3.5
HID267,G,2830,288,3.5
HID268,G,2841,289,4.7
HID269,G,2852,290,2.4
HID270,G,2863,291,2.4
HID271,G,2874,292,5
HID272,G,2885,293,3.4
HID273,G,2896,294,4.1
HID274,G,2907,295,4.8
HID275,G,2918,296,3
HID276,G,2929,297,3
HID277,G,2940,298,5
HID278,G,2951,299,1.5
HID279,G,2962,300,1.5
HID280,G,2973,301,4.8
HID281,G,2984,302,2
HID282,G,2995,303,2
HID283,G,3006,304,5
HID284,G,3017,305,2
HID285,G,3028,306,2
HID286,G,3039,307,4.8
HID287,G,3050,308,2
HID288,G,3061,309,3.5
HID289,G,3072,310,5
HID290,G,3083,311,3.5
HID291,G,3094,312,3.5
HID292,G,3105,313,4.8
HID293,G,3116,314,3.4
HID294,G,3127,315,4.8
HID295,G,3138,316,4
HID296,G,3149,317,4.8
HID297,G,3160,318,5
HID298,G,3171,319,3.4
HID299,G,3182,320,4.8
HID300,G,3193,321,4
HID301,G,3204,322,4.8
HID302,G,3215,323,5
HID303,G,3226,324,3.4
HID304,G,3237,325,4.8
HID305,G,3248,326,4
HID306,G,3259,327,4.8
HID307,G,3270,328,5
HID308,G,3281,329,3.4
HID309,G,3292,330,4.8
HID310,G,3303,331,4
HID311,G,3314,332,4.8
HID312,G,3325,333,5
HID313,G,3336,334,5
HID314,G,3347,335,4
HID315,G,3358,336,3.4
HID316,G,3369,337,4
HID317,G,3380,338,3
HID318,G,3391,339,5
HID319,G,3402,340,4
HID320,G,3413,341,3
HID321,G,3424,342,4
HID322,G,3435,343,3
HID323,G,3446,344,5
HID324,G,3457,345,4
HID325,G,3468,346,2
HID326,G,3479,347,4
HID327,G,3490,348,3
HID328,G,3501,349,5
HID329,G,1700,350,4
HID330,G,1700,351,3.5
HID331,G,1700,352,4
HID332,G,1700,353,3
HID333,G,1700,354,4
HID334,G,1700,355,4.7
HID335,G,1700,356,4.8
HID336,G,1700,357,3.4
HID337,G,1700,358,4
HID338,G,1700,359,4.7
HID339,G,1700,360,4.8
HID340,G,1700,361,1.5
HID341,G,1700,362,4
HID342,G,1700,363,4.7
HID343,G,1700,364,4.8
HID344,G,1700,365,2
HID345,G,1700,366,4
HID346,G,1700,367,4.7
HID347,G,1700,368,4.8
HID348,G,1700,369,3.5
HID349,G,1700,370,3.3
HID350,G,1700,371,2
HID351,G,1700,372,3.3
HID352,G,1700,373,2
HID353,G,1700,374,3.3
HID354,G,1700,375,2
HID355,G,1700,376,3.3
HID356,G,1700,377,3.5
HID357,G,1700,378,4.8
HID358,G,1700,379,4.8
HID359,G,1700,380,3.3
HID360,G,1700,381,3.3
HID361,G,1700,382,4.8
HID362,G,1700,383,4.8
HID363,G,1700,384,3.3
HID364,G,1700,385,3.3
HID365,G,1700,100,4.8
HID366,G,1700,100,4.8
HID367,G,1700,100,3.3
HID368,G,1700,100,3.3
HID369,G,1700,100,4.8
HID370,G,1700,100,4.8
HID371,G,1700,101,3.3
HID372,G,1700,102,3.3
HID373,G,1700,103,4.5
HID374,G,1700,104,2.4
HID375,G,1700,105,2
HID376,G,2000,106,4.5
HID377,G,2000,107,4.5
HID378,G,2000,108,3
HID379,G,2000,109,2
HID380,G,2000,110,4.5
HID381,G,2000,111,4.5
HID382,G,2000,112,2
HID383,G,2000,113,2
HID384,G,2000,114,4.5
HID385,G,2000,115,4.5
HID386,G,2000,116,3.5
HID387,G,2000,117,3.5
HID388,G,2000,118,4.5
HID389,G,2000,119,4.6
HID390,G,2000,120,1
HID391,G,2000,121,2.4
HID392,G,2000,122,4.6
HID393,G,2000,123,3
HID394,G,2000,124,3
HID395,G,2000,125,4.6
HID396,G,2000,126,2
HID397,G,2000,127,2
HID398,G,2000,128,4.6
HID399,G,2000,129,2
HID400,G,2000,130,3.5
HID401,G,2000,131,2.5
HID402,G,2000,132,3.4
HID403,G,2000,133,4
HID404,G,2000,134,3.9
HID405,G,2000,135,3.2
HID406,G,2000,136,4.5
HID407,G,2000,137,3.3
HID408,G,2000,138,5
HID409,G,2000,139,3.1
HID410,G,2000,140,2.5
HID411,G,2000,141,3.4
HID412,G,2000,142,4
HID413,G,2000,143,3.9
HID414,G,2000,144,3.2
HID415,G,2000,145,4.5
HID416,G,2000,146,3.3
HID417,G,2000,147,5
HID418,G,2000,148,3.1
HID419,G,2000,149,2.5
HID420,G,2000,150,3.4
HID421,G,2000,151,4
HID422,G,2000,152,3.9
HID423,G,2000,153,3.2
HID424,G,2000,154,4.5
HID425,G,2000,155,3.3
HID426,G,2000,156,5
HID427,G,2000,157,3.1
HID428,G,2000,158,2.5
HID429,G,2000,159,3.4
HID430,G,2000,160,4
HID431,G,2000,161,3.9
HID432,G,2000,162,3.2
HID433,G,2000,163,4.5
HID434,G,2000,164,3.3
HID435,G,2000,165,5
HID436,G,2000,166,3.1
HID437,G,2000,167,3.1
HID438,G,2000,168,3.1
HID439,G,2000,169,3.1
HID440,G,2000,170,3.1
HID441,G,2000,171,3.8
HID442,G,2000,172,4.8
HID443,G,2000,173,3.9
HID444,G,2000,174,4.3
HID445,G,2000,175,4.5
HID446,G,2000,176,3.8
HID447,G,2000,177,4.8
HID448,G,2000,178,3.9
HID449,G,2000,179,4.3
HID450,G,2000,180,4.5
HID451,G,2000,181,3.8
HID452,G,2000,182,4.8
HID453,G,2000,183,3.9
HID454,G,2000,184,4.3
HID455,G,2000,185,4.5
HID456,G,2000,186,3.8
HID457,G,2000,187,4.8
HID458,G,2000,188,3.9
HID459,G,2000,189,4.3
HID460,G,2000,190,4.5
HID461,G,2000,191,3.9
HID462,G,1000,192,3.9
HID463,G,1000,193,3.9
HID464,G,1000,194,3.9
HID465,G,1000,195,5
HID466,G,1000,196,2.4
HID467,G,1000,197,4.6
HID468,G,1000,198,4.7
HID469,G,1000,199,4.4
HID470,G,1000,200,5
HID471,G,1000,201,3
HID472,G,1000,202,4.6
HID473,G,1000,203,4.7
HID474,G,1000,204,4.4
HID475,G,1000,205,5
HID476,G,1000,206,2
HID477,G,1000,207,4.6
HID478,G,1000,208,4.7
HID479,G,1000,209,4.4
HID480,G,1000,210,5
HID481,G,1000,211,3.5
HID482,G,1000,212,4.6
HID483,G,1000,213,4.7
HID484,G,1000,214,4.4
HID485,G,1000,215,2.4
HID486,G,1000,216,2.4
HID487,G,1000,217,2.4
HID488,G,1000,218,2.4
HID489,G,1000,219,3.8
HID490,G,1000,220,3.8
HID491,G,1000,221,3.8
HID492,G,1000,222,3.8
HID493,G,1000,223,4.7
HID494,G,1000,224,2
HID495,G,1000,225,4.3
HID496,G,1000,226,4.7
HID497,G,1000,227,2
HID498,G,1000,228,4.3
HID499,G,1000,229,4.7
HID500,G,1000,230,2
HID501,G,1000,231,4.3
HID502,G,1000,232,4.7
HID503,G,1000,233,3.5
HID504,G,1000,234,4.3
HID505,G,1000,235,4.7
HID506,G,1000,236,2.3
HID507,G,1000,237,4.7
HID508,G,1000,238,2.3
HID509,G,1000,239,4.7
HID510,G,1000,240,2.3
HID511,G,1000,241,4.7
HID512,G,1000,242,2.3
HID513,G,1000,243,4.5
HID514,G,1000,244,3.8
HID515,G,1000,245,4.5
HID516,G,1000,246,3.8
