PID,POIs
POI1,CALANGUTE BEACH
POI2,FORT AGUADA
POI3,CRUISE IN GOA
POI4,DUDHSAGAR FALLS
POI5,ANJUNA BEACH
POI6,CHAPORA FORT
POI7,THALASSA
POI8,BASILICA OF BOM JESUS
POI9,BAGA BEACH
POI10,BUTTERFLY BEACH
POI11,DIVAR ISLAND
POI12,SCUBA DIVING IN GOA
POI13,DONA PAULA
POI14,ARAMBOL BEACH
POI15,VAGATOR BEACH
POI16,FONTAINHAS AND SAO TOME
POI17,CHURCH OF OUR LADY OF THE IMMACULATE CONCEPTION
POI18,TITO'S NIGHTCLUB
POI19,BRITTOS
POI20,MAMBOS
POI21,CLUB LPK - LOVE PASSION KARMA
POI22,ANJUNA FLEA MARKET
POI23,PALOLEM BEACH
POI24,BUNGEE JUMPING IN GOA
POI25,COLVA BEACH
POI26,MORJIM BEACH
POI27,CASINO
POI28,AGONDA BEACH
POI29,CANDOLIM BEACH
POI30,SE CATHEDRAL
POI31,CAVELOSSIM BEACH
POI32,PATNEM BEACH
POI33,BETALBATIM BEACH
POI34,FORT TIRACOL
POI35,GRANDE ISLAND
POI36,BHAGWAN MAHAVIR WILDLIFE SANCTUARY
POI37,ARVALEM WATERFALLS
POI38,MOLLEM NATIONAL PARK
POI39,CHURCH OF STCAJETAN
POI40,BAMBOLIM BEACH
POI41,BUTTERFLY CONSERVATORY OF GOA
POI42,SRI MAHADEVA TEMPLE
POI43,CHURCH OF ST FRANCIS OF ASSISI
POI44,CABO DE RAMA BEACH
POI45,CHURCH OF ST AUGUSTINE
POI46,SAVOI SPICE PLANTATION
POI47,ASHWEM BEACH
