PID,POIs,Priority = 5,Priority = 4,Priority = 3,Priority = 2,Priority = 1
POI1,CALANGUTE BEACH,Scenic,Adventure,Food and Drinks,,
POI2,FORT AGUADA,History and Culture	,Scenic,,,
POI3,CRUISE IN GOA,Adventure,Scenic,,,
POI4,DUDHSAGAR FALLS,Adventure,Scenic,,,
POI5,ANJUNA BEACH,Scenic,Adventure,Food and Drinks,,
POI6,CHAPORA FORT,Scenic,,,,
POI7,THALASSA,Local Experiences,,,,
POI8,BASILICA OF BOM JESUS,Religious,,,,
POI9,BAGA BEACH,Scenic,Adventure,Food and Drinks,,
POI10,BUTTERFLY BEACH,Scenic,Food and Drinks,,,
POI11,DIVAR ISLAND,Scenic,,,,
POI12,SCUBA DIVING IN GOA,Adventure,Scenic,,,
POI13,DONA PAULA,Scenic,Adventure,Food and Drinks,,
POI14,ARAMBOL BEACH,Scenic,Adventure,Food and Drinks,,
POI15,VAGATOR BEACH,Scenic,Adventure,Food and Drinks,,
POI16,FONTAINHAS AND SAO TOME,Local Experiences,Scenic,,,
POI17,CHURCH OF OUR LADY OF THE IMMACULATE CONCEPTION,Religious,,,,
POI18,TITO'S NIGHTCLUB,Local Experiences,,,,
POI19,BRITTOS,Food & Drink,,,,
POI20,MAMBOS,Food & Drink,,,,
POI21,CLUB LPK - LOVE PASSION KARMA,Local Experiences,,,,
POI22,ANJUNA FLEA MARKET,Shopping,Local Experiences,,,
POI23,PALOLEM BEACH,Scenic,Adventure,Food and Drinks,,
POI24,BUNGEE JUMPING IN GOA,Adventure,,,,
POI25,COLVA BEACH,Scenic,Adventure,Food and Drinks,,
POI26,MORJIM BEACH,Scenic,Adventure,Food and Drinks,,
POI27,CASINO,Local Experiences,,,,
POI28,AGONDA BEACH,Scenic,Adventure,Food and Drinks,,
POI29,CANDOLIM BEACH,Scenic,Adventure,Food and Drinks,,
POI30,SE CATHEDRAL,Religious,,,,
POI31,CAVELOSSIM BEACH,Scenic,Adventure,Food and Drinks,,
POI32,PATNEM BEACH,Scenic,Adventure,Food and Drinks,,
POI33,BETALBATIM BEACH,Scenic,Adventure,Food and Drinks,,
POI34,FORT TIRACOL,History and Culture	,Scenic,,,
POI35,GRANDE ISLAND,Adventure,Scenic,,,
POI36,BHAGWAN MAHAVIR WILDLIFE SANCTUARY,Adventure,Scenic,,,
POI37,ARVALEM WATERFALLS,Adventure,Scenic,,,
POI38,MOLLEM NATIONAL PARK,Adventure,Scenic,,,
POI39,CHURCH OF STCAJETAN,Religious,History and Culture,,,
POI40,BAMBOLIM BEACH,Scenic,Adventure,Food and Drinks,,
POI41,BUTTERFLY CONSERVATORY OF GOA,Scenic,Local Experiences,,,
POI42,SRI MAHADEVA TEMPLE,Religious,,,,
POI43,CHURCH OF ST FRANCIS OF ASSISI,Religious,,,,
POI44,CABO DE RAMA BEACH,Scenic,Adventure,Food and Drinks,,
POI45,CHURCH OF ST AUGUSTINE,Religious,,,,
POI46,SAVOI SPICE PLANTATION,Local Experiences,Scenic,,,
POI47,ASHWEM BEACH,Scenic,Adventure,Food and Drinks,,
