PID,POI,Shows and Concerts,Scenic,Local Experiences,Religious,History and Culture,Museum,Food and Drinks,Adventure,Shopping
POI1,Calangute Beach,2,5,1,0,0,0,3,4,0
POI2,Fort Aguada,0,4,2,0,5,3,1,0,0
POI3,Cruise in Goa,0,4,0,0,0,0,3,5,0
POI4,Dudhsagar Falls,0,4,0,0,0,0,3,5,0
POI5,Anjuna Beach,2,5,1,0,0,0,3,4,0
POI6,Chapora Fort,0,5,3,0,4,0,0,0,0
POI7,Thalassa,0,0,5,0,0,0,4,0,3
POI8,Basilica of Bom Jesus,0,0,0,5,3,0,0,0,0
POI9,Baga Beach,2,5,1,0,0,0,3,4,0
POI10,Butterfly Beach,3,5,2,0,0,0,4,1,0
POI11,Divar Island,3,5,2,0,0,0,4,0,0
POI12,Scuba Diving in Goa,3,4,0,0,0,0,2,5,0
POI13,Dona Paula,2,5,1,0,0,0,3,4,0
POI14,Arambol Beach,2,5,1,0,0,0,3,4,0
POI15,Vagator Beach,2,5,1,0,0,0,3,4,0
POI16,Fontainhas and Sao Tome,3,4,5,0,0,0,0,0,0
POI17,Church of Our Lady of the Immaculate Conception,0,0,0,5,3,0,0,0,0
POI18,Tito's Nightclub,4,0,5,0,0,0,3,0,0
POI19,Brittos,1,4,2,0,0,0,5,0,0
POI20,Mambos,1,4,2,0,0,0,5,0,0
POI21,Club LPK - Love Passion Karma,1,3,5,0,0,0,2,0,0
POI22,Anjuna Flea Market,2,0,4,0,0,0,3,0,5
POI23,Palolem Beach,2,5,1,0,0,0,3,4,0
POI24,Bungee Jumping in Goa,0,4,0,0,0,0,3,5,0
POI25,Colva Beach,2,5,1,0,0,0,3,4,0
POI26,Morjim Beach,2,5,1,0,0,0,3,4,0
POI27,Casino,1,3,5,0,0,0,4,0,0
POI28,Agonda Beach,2,5,1,0,0,0,3,4,0
POI29,Candolim Beach,2,5,1,0,0,0,3,4,0
POI30,Se Cathedral,0,3,0,5,4,2,0,0,0
POI31,Cavelossim Beach,2,5,1,0,0,0,3,4,0
POI32,Patnem Beach,2,5,1,0,0,0,3,4,0
POI33,Betalbatim Beach,2,5,1,0,0,0,3,4,0
POI34,Fort Tiracol,0,4,3,1,5,2,0,0,0
POI35,Grande Island,2,4,3,0,0,0,1,5,0
POI36,Bhagwan Mahavir Wildlife Sanctuary,2,4,3,0,0,0,1,5,0
POI37,Arvalem Waterfalls,0,4,3,0,0,0,1,5,0
POI38,Mollem National Park,2,4,3,0,0,0,1,5,0
POI39,Church of StCajetan,0,0,2,5,4,1,0,0,0
POI40,Bambolim Beach,2,5,1,0,0,0,3,4,0
POI41,Butterfly Conservatory Of Goa,3,5,4,0,0,0,2,1,0
POI42,Sri Mahadeva Temple,0,0,4,5,2,1,0,0,0
POI43,Church of St Francis of Assisi,0,0,4,5,2,1,0,0,0
POI44,Cabo de Rama Beach,2,5,1,0,0,0,3,4,0
POI45,Church Of St Augustine,0,0,4,5,2,1,0,0,0
POI46,Savoi Spice Plantation,0,4,5,0,0,0,2,1,3
POI47,Ashwem Beach,2,5,1,0,0,0,3,4,0
