PID,POIs,Time 1,Time 2,In time 1,In time 2,Out time 1,Out time 2
POI1,CALANGUTE BEACH,23:59,,00:00,,23:59,
POI2,FORT AGUADA,08:30,,09:30,,18:00,
POI3,CRUISE IN GOA,10:30,,10:00,,20:30,
POI4,DUDHSAGAR FALLS,10:30,,07:00,,17:30,
POI5,ANJUNA BEACH,23:59,,00:00,,23:59,
POI6,CHAPORA FORT,08:00,,09:30,,17:30,
POI7,THALASSA,04:30,,08:30,,13:00,
POI8,BASILICA OF BOM JESUS,09:30,,09:00,,18:30,
POI9,BAGA BEACH,23:59,,00:00,,23:59,
POI10,BUTTERFLY BEACH,16:00,,06:00,,22:00,
POI11,DIVAR ISLAND,20:00,,06:00,,02:00,
POI12,SCUBA DIVING IN GOA,12:00,,06:00,,18:00,
POI13,DONA PAULA,16:00,,06:00,,22:00,
POI14,ARAMBOL BEACH,23:59,,00:00,,23:59,
POI15,VAGATOR BEACH,23:59,,00:00,,23:59,
POI16,FONTAINHAS AND SAO TOME,06:00,,10:00,,16:00,
POI17,CHURCH OF OUR LADY OF THE IMMACULATE CONCEPTION,03:00,04:00,09:30,15:30,12:30,19:30
POI18,TITO'S NIGHTCLUB,06:00,,21:00,,03:00,
POI19,BRITTOS,15:30,,08:30,,00:00,
POI20,MAMBOS,07:30,,20:00,,03:30,
POI21,CLUB LPK - LOVE PASSION KARMA,18:00,,09:30,,03:30,
POI22,ANJUNA FLEA MARKET,09:00,,09:00,,18:00,
POI23,PALOLEM BEACH,23:59,,00:00,,23:59,
POI24,BUNGEE JUMPING IN GOA,08:00,,09:30,,17:30,
POI25,COLVA BEACH,23:59,,00:00,,23:59,
POI26,MORJIM BEACH,23:59,,00:00,,23:59,
POI27,CASINO,23:59,,00:00,,23:59,
POI28,AGONDA BEACH,23:59,,00:00,,23:59,
POI29,CANDOLIM BEACH,23:59,,00:00,,23:59,
POI30,SE CATHEDRAL,10:30,,07:30,,18:00,
POI31,CAVELOSSIM BEACH,23:59,,00:00,,23:59,
POI32,PATNEM BEACH,23:59,,00:00,,23:59,
POI33,BETALBATIM BEACH,23:59,,00:00,,23:59,
POI34,FORT TIRACOL,10:00,,09:00,,19:00,
POI35,GRANDE ISLAND,07:30,,08:30,,16:00,
POI36,BHAGWAN MAHAVIR WILDLIFE SANCTUARY,09:30,,08:00,,17:30,
POI37,ARVALEM WATERFALLS,05:00,04:00,08:00,14:00,13:00,18:00
POI38,MOLLEM NATIONAL PARK,09:00,,08:00,,17:00,
POI39,CHURCH OF STCAJETAN,03:00,03:00,09:00,16:00,12:00,19:00
POI40,BAMBOLIM BEACH,23:59,,00:00,,23:59,
POI41,BUTTERFLY CONSERVATORY OF GOA,08:00,,09:00,,17:00,
POI42,SRI MAHADEVA TEMPLE,09:00,,08:30,,17:30,
POI43,CHURCH OF ST FRANCIS OF ASSISI,11:00,,07:30,,18:30,
POI44,CABO DE RAMA BEACH,23:59,,00:00,,23:59,
POI45,CHURCH OF ST AUGUSTINE,09:00,,08:30,,17:30,
POI46,SAVOI SPICE PLANTATION,07:00,,11:00,,18:00,
POI47,ASHWEM BEACH,23:59,,00:00,,23:59,
