Section,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
1,POI1,POI5,POI9,POI14,POI15,POI23,POI25,POI26,POI27,POI28,POI29,POI31,POI32,POI33,POI40,POI44,POI47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,POI1,POI5,POI9,POI14,POI15,POI23,POI25,POI26,POI27,POI28,POI29,POI31,POI32,POI33,POI40,POI44,POI47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,POI10,POI11,POI12,POI13,POI1,POI5,POI9,POI14,POI15,POI23,POI25,POI26,POI27,POI28,POI29,POI31,POI32,POI33,POI40,POI44,POI47,,,,,,,,,,,,,,,,,,,,,,,,
4,POI4,POI30,POI43,POI10,POI11,POI12,POI13,POI1,POI5,POI9,POI14,POI15,POI23,POI25,POI26,POI27,POI28,POI29,POI31,POI32,POI33,POI40,POI44,POI47,,,,,,,,,,,,,,,,,,,,,
5,POI36,POI37,POI38,POI7,POI19,POI35,POI42,POI45,POI10,POI11,POI12,POI13,POI1,POI5,POI9,POI14,POI15,POI23,POI25,POI26,POI27,POI28,POI29,POI31,POI32,POI33,POI40,POI44,POI47,POI4,POI30,POI43,,,,,,,,,,,,,
6,POI8,POI22,POI34,POI39,POI41,POI23,POI6,POI17,POI21,POI24,POI36,POI37,POI38,POI7,POI19,POI35,POI42,POI45,POI10,POI11,POI12,POI13,POI1,POI5,POI9,POI14,POI15,POI23,POI25,POI26,POI27,POI28,POI29,POI31,POI32,POI33,POI40,POI44,POI47,POI4,POI30,POI43,,,
7,POI3,POI16,POI8,POI22,POI34,POI39,POI41,POI23,POI6,POI17,POI21,POI24,POI36,POI37,POI38,POI7,POI19,POI35,POI42,POI45,POI10,POI11,POI12,POI13,POI1,POI5,POI9,POI14,POI15,POI23,POI25,POI26,POI27,POI28,POI29,POI31,POI32,POI33,POI40,POI44,POI47,POI4,POI30,POI43,
8,POI46,POI3,POI16,POI8,POI22,POI34,POI39,POI41,POI23,POI6,POI17,POI21,POI24,POI36,POI37,POI38,POI7,POI19,POI35,POI42,POI45,POI10,POI11,POI12,POI13,POI1,POI5,POI9,POI14,POI15,POI23,POI25,POI26,POI27,POI28,POI29,POI31,POI32,POI33,POI40,POI44,POI47,POI4,POI30,POI43
9,POI46,POI3,,POI8,POI22,POI34,POI41,POI23,POI6,,POI21,POI24,POI36,,POI38,POI7,POI19,,POI42,POI45,POI10,POI11,POI12,POI13,POI1,POI5,POI9,POI14,POI15,POI23,POI25,POI26,POI27,POI28,POI29,POI31,POI32,POI33,POI40,POI44,POI47,POI4,POI30,POI43,
10,POI46,POI3,POI8,POI22,POI34,POI41,POI23,POI6,POI21,POI24,POI36,POI42,POI45,POI10,POI11,POI12,POI13,POI1,POI5,POI9,POI14,POI15,POI23,POI25,POI26,POI27,POI28,POI29,POI31,POI32,POI33,POI40,POI44,POI47,POI4,POI30,POI43,POI30,POI43,POI37,,,,,
11,POI39,POI17,POI34,POI39,POI10,POI13,POI13,POI5,POI9,POI14,POI15,POI23,POI25,POI26,POI27,POI28,POI29,POI31,POI32,POI33,POI40,POI44,POI47,,,,,,,,,,,,,,,,,,,,,,
12,POI10,POI3,POI13,POI5,POI9,POI14,POI15,POI23,POI25,POI26,POI27,POI28,POI29,POI31,POI32,POI33,POI40,POI44,POI47,,,,,,,,,,,,,,,,,,,,,,,,,,
13,POI1,POI5,POI9,POI14,POI15,POI23,POI25,POI26,POI27,POI28,POI29,POI31,POI32,POI33,POI40,POI44,POI47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
