HID,"Lat,Lng"
HID1,"17.4468922696,78.3837946587"
HID2,"17.5392302,78.9481657"
HID3,"15.9128998,79.7399875"
HID4,"17.43793508,78.45767568"
HID5,"17.4369108034,78.4583349261"
HID6,"17.4690779097,78.367906605"
HID7,"17.4370061,78.4582306"
HID8,"17.4606782113,78.3663692549"
HID9,"17.4447068,78.4663812"
HID10,"17.4852755,78.3894466"
HID11,"17.4173892,78.5438631"
HID12,"17.4336303,78.5018098"
HID13,"17.4254869,78.4232304"
HID14,"17.5125114,78.3522278"
HID15,"17.4667858,78.3674687"
HID16,"17.4158533,78.4136305"
HID17,"17.5690433971,78.5553570085"
HID18,"17.4615130528,78.3526585647"
HID19,"17.388386116,78.4785180468"
HID20,"17.385044,78.486671"
HID21,"17.385044,78.486671"
HID22,"17.4351078323,78.4996881284"
HID23,"17.4325291,78.4048263"
HID24,"17.4415046,78.4897127"
HID25,"17.43705631,78.50049004"
HID26,"17.3404791,78.3088258"
HID27,"17.433470362,78.3742978647"
HID28,"17.494935,79.7399875"
HID29,"17.4088792,78.4264839"
HID30,"15.9128998,79.7399875"
HID31,"17.4982784,78.3907814"
HID32,"17.4581398,78.3699885"
HID33,"17.401307492,78.4769345813"
HID34,"17.4501795,78.3810356"
HID35,"17.403749,78.4491815"
HID36,"17.4361224651,78.5037885554"
HID37,"17.4424225,78.4866683"
HID38,"17.3907144,78.480384"
HID39,"15.9128998,79.7399875"
HID40,"17.4429333097,78.487369068"
HID41,"17.4627184746,78.368685754"
HID42,"17.3883691,78.4796063"
HID43,"17.4376423462,78.4486758781"
HID44,"17.3935102,78.4718627"
HID45,"17.4091108322,78.425674914"
HID46,"28.6139391,77.2090212"
HID47,"17.4026049,78.4607238"
HID48,"17.3511599222,78.527380575"
HID49,"17.4432275078,78.4607368804"
HID50,"17.4957469447,78.3985604876"
