HID,Hotel,Price,Number of Reviews,Desirable
HID1,H1,2400,124,4.5
HID2,H2,2750,21,3.7
HID3,H3,2750,1,3.6
HID4,H4,1467,25,2.7
HID5,H5,1467,13,3.4
HID6,H6,2000,564,3.7
HID7,H7,2000,41,3.4
HID8,H8,2000,96,4.1
HID9,H9,1679,44,3.7
HID10,H10,1679,23,3.6
HID11,H11,1679,19,3.1
HID12,H12,1950,3,3.2
HID13,H13,1950,60,4.2
HID14,H14,1950,4,4.8
HID15,H15,2300,83,4.2
HID16,H16,1450,2,3
HID17,H17,1450,86,3.6
HID18,H18,1800,8,3.3
HID19,H19,1800,2,3.5
HID20,H20,1800,4,3.9
HID21,H21,2250,1,2
HID22,H22,2250,46,1.7
HID23,H23,2250,46,2
HID24,H24,2600,28,3.6
HID25,H25,2600,5,3.6
HID26,H26,1350,60,4
HID27,H27,1350,55,3.7
HID28,H28,3500,11,3.3
HID29,H29,3200,13,4
HID30,H30,3200,10,3.7
HID31,H31,3200,10,3
HID32,H32,3200,73,4
HID33,H33,3100,108,4.2
HID34,H34,3100,9,4.1
HID35,H35,3100,10,3.4
HID36,H36,2850,2,1
HID37,H37,2850,62,2.4
HID38,H38,2850,5,2.4
HID39,H39,2450,1,4
HID40,H40,2450,15,3.9
HID41,H41,2450,99,4.5
HID42,H42,2450,5,3.8
HID43,H43,1290,559,3.5
HID44,H44,1290,40,3.2
HID45,H45,1290,13,3.3
HID46,H46,3200,2,3
HID47,H47,3100,230,3.2
HID48,H48,3100,5,4.4
HID49,H49,2700,33,4.6
HID50,H50,2700,276,4.5
