,"Lat,Lng"
0,"17.2641,78.6818"
1,"17.4239,78.4738"
2,"17.38233,78.401604"
3,"17.3615636,78.4720896"
4,"17.4354103,78.4718348"
5,"17.2172886,78.5259304"
6,"17.1860231,78.3307275"
7,"17.390036,78.3229214"
8,"17.3578233,78.4691148"
9,"17.452573,78.378306"
10,"17.3761256,78.3757373"
11,"17.368989,78.48087"
12,"17.4062367,78.4690601"
13,"17.3507805,78.448908"
14,"17.4039876,78.466866"
15,"17.423147,78.4126224"
16,"17.4145065,78.4784371"
17,"17.5720982,78.5571453"
18,"17.3713411,78.4777415"
19,"17.3973706,78.3975392"
20,"17.3997117,78.4601572"
21,"17.4096811,78.4698595"
22,"17.3629,78.4741"
23,"17.4338,78.387"
24,"17.4391809,78.372798"
25,"17.4578165,78.3639655"
26,"17.4563733,78.358428"
27,"17.3314792,78.4648898"
28,"17.3164247,78.7222316"
29,"17.434736,78.4735905"
30,"17.3688132,78.472947"
31,"17.3187,78.3586"
32,"17.4130874,78.4671792"
33,"17.619347,78.5705342"
34,"17.3586424,78.2962466"
35,"17.3879167,78.4725075"
36,"17.4239,78.4738"
37,"17.4843067,78.387014"
38,"17.4321105,78.4702912"
39,"17.3604,78.4736"
40,"17.3570362,78.4543447"
41,"17.3659,78.483"
42,"17.4362746,78.3860997"
43,"17.3440139,78.5015847"
44,"17.2668077,78.6733917"
45,"17.4187203,78.4460348"
46,"17.4155657,78.4704669"
