PID,POIs
POI1,RAMOJI FILM CITY
POI2,HUSSAIN SAGAR LAKE
POI3,GOLCONDA FORT
POI4,CHARMINAR
POI5,THRILL CITY
POI6,WONDERLA
POI7,STATUE OF EQUALITY
POI8,GRAVITYZIP
POI9,CHOWMAHALLA PALACE
POI10,SHILPARAMAM
POI11,TARAMATI BARADARI
POI12,JALA VIHAR
POI13,BIRLA MANDIR
POI14,NEHRU ZOOLOGICAL PARK
POI15,B.MBIRLA PLANETARIUM AND SCIENCE & TECHNOLOGICAL MUSEUM
POI16,KBR NATIONAL PARK
POI17,SNOW WORLD HYDERABAD
POI18,HYD SELFIE MUSEUM
POI19,SALAR JUNG MUSEUM
POI20,QUTUB SHAHI TOMBS
POI21,IRANI CAFES
POI22,LUMBINI PARK
POI23,LAAD BAZAAR
POI24,INORBIT MALL
POI25,IKEA HYDERABAD
POI26,SARATH CITY MALL
POI27,HYDERABAD BOTANICAL GARDEN
POI28,TAJ FALAKNUMA PALACE
POI29,MOUNT OPERA THEME PARK RESORT
POI30,NECKLACE ROAD
POI31,FOOD IN HYDERABAD
POI32,HIMAYAT SAGAR LAKE
POI33,NTR GARDENS
POI34,RATNALYAM TEMPLE
POI35,CHILKUR BALAJI TEMPLE
POI36,ISKCON HYDERABAD
POI37,TANK BUND
POI38,FORUM SUJANA MALL
POI39,SANJEEVAIAH PARK
POI40,MECCA MASJID
POI41,SUDHA CARS MUSEUM
POI42,PURANI HAVELI
POI43,DURGAM CHERUVU
POI44,PAIGAH TOMBS
POI45,SANGHI TEMPLE
POI46,GVK ONE MALL
POI47,BUDDHA STATUE HYDERABAD
