PID,POIs,Priority = 5,Priority = 4,Priority = 3,Priority = 2,Priority = 1
POI1,RAMOJI FILM CITY,Shows and Concerts,,Local Experience,,
POI2,HUSSAIN SAGAR LAKE,Local Experience,Scenic,,,
POI3,GOLCONDA FORT,History and Culture,Local Experience,,,
POI4,CHARMINAR,,,,,
POI5,THRILL CITY,Adventure,Scenic,,,
POI6,WONDERLA,Adventure,Scenic,,,
POI7,STATUE OF EQUALITY,Scenic,,,,
POI8,GRAVITYZIP,Adventure,,,,
POI9,CHOWMAHALLA PALACE,History and Culture,Local Experience,,,
POI10,SHILPARAMAM,Scenic,,,,
POI11,TARAMATI BARADARI,History and Culture,,,,
POI12,JALA VIHAR,Adventure,Scenic,,,
POI13,BIRLA MANDIR,Religious,,,,
POI14,NEHRU ZOOLOGICAL PARK,Adventure,Scenic,,,
POI15,B.MBIRLA PLANETARIUM AND SCIENCE & TECHNOLOGICAL MUSEUM,Scenic,,,,
POI16,KBR NATIONAL PARK,Scenic,Adventure,,,
POI17,SNOW WORLD HYDERABAD,Adventure,,,,
POI18,HYD SELFIE MUSEUM,Scenic,,,,
POI19,SALAR JUNG MUSEUM,Museum,History and Culture,,,
POI20,QUTUB SHAHI TOMBS,History and Culture,,,,
POI21,IRANI CAFES,Food and Drinks,Local Experience,,,
POI22,LUMBINI PARK,Scenic,,,,
POI23,LAAD BAZAAR,Shopping,Local Experience,,,
POI24,INORBIT MALL,Shopping,Food and Drinks,,,
POI25,IKEA HYDERABAD,Shopping,Food and Drinks,,,
POI26,SARATH CITY MALL,Shopping,Food and Drinks,,,
POI27,HYDERABAD BOTANICAL GARDEN,Scenic,,,,
POI28,TAJ FALAKNUMA PALACE,History and Culture,Scenic,Local Experience,,
POI29,MOUNT OPERA THEME PARK RESORT,Adventure,Scenic,,,
POI30,NECKLACE ROAD,Local Experience,,,,
POI31,FOOD IN HYDERABAD,Food and Drinks,Local Experience,,,
POI32,HIMAYAT SAGAR LAKE,Scenic,Local Experience,Food and Drinks,,
POI33,NTR GARDENS,Scenic,,,,
POI34,RATNALYAM TEMPLE,Religious,,,,
POI35,CHILKUR BALAJI TEMPLE,Religious,,,,
POI36,ISKCON HYDERABAD,Religious,,,,
POI37,TANK BUND,Scenic,Local Experience,,,
POI38,FORUM SUJANA MALL,Shopping,Food and Drinks,,,
POI39,SANJEEVAIAH PARK,Scenic,,,,
POI40,MECCA MASJID,Religious,,,,
POI41,SUDHA CARS MUSEUM,Scenic,,,,
POI42,PURANI HAVELI,History and Culture,Local Experience,,,
POI43,DURGAM CHERUVU,Local Experience,Scenic,,,
POI44,PAIGAH TOMBS,History and Culture,,,,
POI45,SANGHI TEMPLE,Religious,,,,
POI46,GVK ONE MALL,Shopping,Food and Drinks,,,
POI47,BUDDHA STATUE HYDERABAD,History and Culture,,,,
