PID,POI,Shows and Concerts,Scenic,Local Experiences,Religious,History and Culture,Museum,Food and Drinks,Adventure,Shopping
POI1,RAMOJI FILM CITY,5,4,3,0,0,0,0,0,0
POI2,HUSSAIN SAGAR LAKE,0,4,5,0,0,0,2,1,0
POI3,GOLCONDA FORT,0,2,4,0,5,0,0,0,0
POI4,CHARMINAR,2,4,0,0,0,0,3,5,0
POI5,THRILL CITY,0,4,1,0,0,0,0,5,3
POI6,WONDERLA,0,4,2,0,0,0,3,5,0
POI7,STATUE OF EQUALITY,0,5,0,0,0,0,0,0,0
POI8,GRAVITYZIP,0,3,1,0,0,0,0,5,0
POI9,CHOWMAHALLA PALACE,0,0,4,0,5,0,0,0,0
POI10,SHILPARAMAM,0,5,2,0,0,0,0,0,0
POI11,TARAMATI BARADARI,0,0,2,0,5,0,0,0,0
POI12,JALA VIHAR,0,4,2,0,0,0,0,5,0
POI13,BIRLA MANDIR,0,0,2,5,0,0,0,0,0
POI14,NEHRU ZOOLOGICAL PARK,0,4,1,0,0,0,0,5,
POI15,B.MBIRLA PLANETARIUM AND SCIENCE & TECHNOLOGICAL MUSEUM,0,5,0,0,0,0,0,0,0
POI16,KBR NATIONAL PARK,0,5,2,0,0,0,1,4,0
POI17,SNOW WORLD HYDERABAD,0,0,3,0,0,0,1,5,0
POI18,HYD SELFIE MUSEUM,0,5,2,0,0,4,0,0,0
POI19,SALAR JUNG MUSEUM,0,3,2,0,4,5,0,0,0
POI20,QUTUB SHAHI TOMBS,0,0,2,0,5,1,0,0,0
POI21,IRANI CAFES,0,0,4,0,0,0,5,0,0
POI22,LUMBINI PARK,0,5,0,0,0,0,3,0,0
POI23,LAAD BAZAAR,0,2,4,0,0,0,3,0,5
POI24,INORBIT MALL,2,1,3,0,0,0,4,0,5
POI25,IKEA HYDERABAD,2,1,3,0,0,0,4,0,5
POI26,SARATH CITY MALL,2,0,0,0,0,0,4,0,5
POI27,HYDERABAD BOTANICAL GARDEN,0,5,0,0,0,0,0,0,0
POI28,TAJ FALAKNUMA PALACE,1,4,3,0,5,0,0,0,0
POI29,MOUNT OPERA THEME PARK RESORT,1,4,0,0,0,0,0,5,0
POI30,NECKLACE ROAD,0,2,5,0,0,0,4,0,0
POI31,FOOD IN HYDERABAD,0,0,4,0,0,0,5,0,0
POI32,HIMAYAT SAGAR LAKE,0,5,4,0,0,0,3,0,0
POI33,NTR GARDENS,0,5,0,0,0,0,0,0,0
POI34,RATNALYAM TEMPLE,0,0,2,5,0,0,0,0,0
POI35,CHILKUR BALAJI TEMPLE,0,0,4,5,3,0,0,0,0
POI36,ISKCON HYDERABAD,0,0,0,5,0,0,0,0,0
POI37,TANK BUND,0,5,4,0,0,0,0,0,0
POI38,FORUM SUJANA MALL,3,0,0,0,0,0,4,0,5
POI39,SANJEEVAIAH PARK,4,5,3,0,0,0,0,0,0
POI40,MECCA MASJID,0,0,2,5,3,0,0,0,0
POI41,SUDHA CARS MUSEUM,0,5,0,0,0,0,0,0,0
POI42,PURANI HAVELI,0,0,4,0,5,0,0,0,0
POI43,DURGAM CHERUVU,0,4,5,0,0,0,0,0,0
POI44,PAIGAH TOMBS,0,0,0,0,5,0,0,0,5
POI45,SANGHI TEMPLE,0,0,0,5,0,0,0,0,0
POI46,GVK ONE MALL,0,0,0,0,0,0,4,0,5
POI47,BUDDHA STATUE HYDERABAD,0,0,0,0,5,0,0,0,0
