PID,POIs,Time 1,Time 2,In time 1,In time 2,Out time 1,Out time 2
POI1,Ramoji Film City,11:00,,09:00,,20:00,
POI2,Hussain Sagar Lake,14:00,,08:00,,22:00,
POI3,Golconda Fort,09:30,,08:00,,17:30,
POI4,Charminar,08:30,,09:00,,17:30,
POI5,Thrill City,12:00,,11:00,,23:00,
POI6,Wonderla,09:00,,11:00,,20:00,
POI7,Statue of Equality,09:00,,11:00,,20:00,
POI8,GravityZip,09:30,,12:00,,21:30,
POI9,Chowmahalla Palace,07:00,,10:00,,17:00,
POI10,Shilparamam,10:00,,10:30,,20:30,
POI11,Taramati Baradari,07:00,,11:00,,18:00,
POI12,Jala Vihar,08:00,,11:00,,19:00,
POI13,Birla Mandir,05:00,06:00,07:00,15:00,12:00,21:00
POI14,Nehru Zoological Park,21:30,,08:00,,05:30,
POI15,B.MBirla Planetarium and Science & Technological Museum,08:30,,11:30,,20:00,
POI16,KBR National Park,04:30,06:30,05:00,09:30,09:30,16:00
POI17,Snow World Hyderabad,09:00,,11:00,,20:00,
POI18,Hyd Selfie Museum,11:00,,12:30,,23:30,
POI19,Salar Jung Museum,19:00,,10:00,,05:00,
POI20,Qutub Shahi Tombs,07:00,,09:30,,16:30,
POI21,Irani Cafes,00:00,,00:00,,23:59,
POI22,Lumbini Park,12:00,,09:00,,21:00,
POI23,Laad Bazaar,11:30,,11:00,,22:30,
POI24,Inorbit Mall,10:30,,11:00,,21:30,
POI25,IKEA Hyderabad,11:00,,10:00,,21:00,
POI26,Sarath City Mall,10:30,,11:00,,21:30,
POI27,Hyderabad Botanical Garden,12:30,,05:30,,18:00,
POI28,Taj Falaknuma Palace,23:59,,00:00,,23:59,
POI29,Mount Opera Theme Park Resort,07:00,,11:00,,18:00,
POI30,Necklace Road,00:00,,00:00,,23:59,
POI31,Food in Hyderabad,12:00,,11:00,,23:00,
POI32,Himayat Sagar Lake,12:00,,07:00,,19:00,
POI33,NTR Gardens,06:00,,14:30,,20:30,
POI34,Ratnalyam Temple,06:00,04:00,06:00,16:00,12:00,20:00
POI35,Chilkur Balaji Temple,15:00,,05:00,,20:00,
POI36,Iskcon Hyderabad,16:00,,04:30,,20:30,
POI37,Tank Bund,00:00,,00:00,,23:59,
POI38,Forum Sujana Mall,12:00,,10:00,,22:00,
POI39,Sanjeevaiah Park,09:00,,09:00,,18:00,
POI40,Mecca Masjid,17:30,,04:00,,21:30,
POI41,Sudha Cars Museum,09:00,,09:30,,18:30,
POI42,Purani Haveli,06:30,,10:30,,17:00,
POI43,Durgam Cheruvu,08:30,,10:00,,18:30,
POI44,Paigah Tombs,07:00,,10:00,,17:00,
POI45,Sanghi Temple,02:00,02:00,08:30,16:00,10:30,18:00
POI46,GVK One Mall,13:00,,09:30,,22:30,
POI47,Buddha Statue Hyderabad,09:30,,10:30,,20:00,
