PID,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,POI11,POI12,POI13,POI14,POI15,POI16,POI17,POI18,POI19,POI20,POI21,POI22,POI23,POI24,POI25,POI26,POI27,POI28,POI29,POI30,POI31,POI32,POI33,POI34,POI35,POI36,POI37,POI38,POI39,POI40,POI41,POI42,POI43,POI44,POI45,POI46,POI47
POI1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI2,7.399477142,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI3,0.7963678549,6.653703594,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI4,14.93122833,10.00099619,14.49977965,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI5,2.015001207,5.750944175,1.618891866,12.92963171,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI6,34.92063163,37.55895637,34.87259084,47.55833553,36.38855592,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI7,2.284373416,6.699230925,1.79948871,15.49084447,3.145015946,33.25325422,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI8,1.180701708,8.521064656,1.977067658,15.62111727,2.918623412,35.02839797,3.240240547,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI9,43.077776,46.91240666,43.19125414,56.83828007,44.78882348,11.39713397,41.7628104,42.93949535,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI10,14.37107352,20.55659354,14.78418166,29.28264825,16.35729828,24.3717947,13.98854383,13.82347548,30.26741709,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI11,17.1169765,9.733235988,16.38262602,9.512446994,15.35805113,43.40992482,16.33343718,18.21413176,53.70288176,29.79835747,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI12,1.354617129,8.485359443,1.890763494,16.28382831,3.358683639,33.81912286,2.374176907,1.263867302,41.83575623,13.0166543,18.21803578,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI13,2.959409671,4.745235909,2.404842192,12.11166334,1.031032238,36.73513905,3.547684052,3.935760779,45.31049303,17.18085995,14.32769648,4.26237644,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI14,7.101805748,7.158888662,6.508978874,17.14863115,7.363486323,30.43883107,4.827192547,8.047556784,39.76954264,14.90717559,15.1346755,7.021748814,7.190346972,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI15,9.510477721,6.410790321,8.78219609,16.06590447,9.113954794,31.75684482,7.426598358,10.60941917,41.60796225,18.17718567,12.39679418,9.790361717,8.577363518,3.403475961,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI16,21.66608855,28.86567363,22.32412432,36.00353498,23.61916955,30.2491246,22.2179882,20.71036962,32.60569498,10.61270658,38.5510368,20.4390819,24.61492515,24.53048313,27.92520763,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI17,34.48285938,40.52382937,34.91017775,49.4063844,36.47765213,21.45405433,34.0745468,33.87674842,18.31703074,20.12671165,49.38339165,33.12848475,37.30757028,34.24904149,37.17994431,16.8960083,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI18,59.12474083,66.16256861,59.9210932,68.68515983,60.45564952,70.60669287,60.77722711,57.94408909,68.11733395,53.34706281,75.27943343,58.4346678,61.43164348,64.72194224,67.96753369,43.05763322,50.08643726,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI19,3.253904835,8.302125401,3.141232979,17.23241196,4.700412948,31.73309306,1.741943027,3.743194667,40.09846591,12.29006731,17.81351644,2.509474344,5.239148557,4.820070083,7.931483324,20.79524293,32.35348103,60.03807269,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI20,4.826882073,12.12070624,5.62158435,18.307867,6.397857046,35.26187809,6.576843048,3.650300719,42.36608436,12.34695356,21.75385626,4.202904318,7.427004535,11.10410567,13.98727295,17.69707822,31.89345697,54.30846378,6.321620172,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
POI21,7.599928937,7.750176999,7.525339741,8.731779669,5.98420882,42.3727644,9.123348537,7.855929925,50.67721814,21.62142143,14.77375174,8.866905468,5.733809222,12.81868086,13.57975355,27.43688997,41.56206301,60.74467637,10.66278291,9.837544179,0,,,,,,,,,,,,,,,,,,,,,,,,,,
POI22,0.255404398,7.61309444,0.9711375376,15.18635367,2.269994794,34.72801621,2.266281666,1.048514058,42.8548586,14.11755196,17.33648926,1.100916915,3.208626701,7.093474184,9.575149823,21.42379651,34.22839715,58.97081985,3.103022026,4.664005756,7.825480798,0,,,,,,,,,,,,,,,,,,,,,,,,,
POI23,4.187930934,3.384473837,3.524440799,11.29480641,2.381572201,36.96866454,4.200344306,5.238846486,45.78069782,18.12891695,12.98550382,5.41503119,1.362512176,6.910717067,7.771101954,25.84350357,38.24124508,62.78401443,5.94211434,8.777267469,5.950376985,4.424538147,0,,,,,,,,,,,,,,,,,,,,,,,,
POI24,11.62758,16.95339915,11.85968296,26.19944877,13.47849737,24.24211685,10.70861116,11.38102048,31.58287189,4.318437174,25.87476275,10.3304054,14.15661588,10.80871238,13.98722213,14.79722759,23.59367955,57.13980118,8.967102215,11.03682663,19.19604708,11.39070487,14.90686897,0,,,,,,,,,,,,,,,,,,,,,,,
POI25,7.118453355,7.976009323,6.603213521,17.93828212,7.62899326,29.70004456,4.839096295,7.970165246,38.93643838,14.01340891,16.06424233,6.861075715,7.575799675,0.9296691402,4.211554228,23.72095331,33.31962857,64.14435147,4.497320124,10.81832202,13.2764169,7.076829196,7.445502719,9.892492865,0,,,,,,,,,,,,,,,,,,,,,,
POI26,11.42776621,18.21777823,11.9616295,26.31692419,13.44272938,27.98474021,11.51892201,10.69921768,34.0619207,3.795685246,27.78060367,10.09554472,14.35600758,13.55250422,16.95092698,10.98165428,23.25255735,52.34441833,9.968109367,8.739987293,18.30957927,11.17294578,15.44894002,5.102624905,12.75419169,0,,,,,,,,,,,,,,,,,,,,,
POI27,0.9030156357,8.254794005,1.699374509,15.45085076,2.6849275,35.0028108,3.002823612,0.277712141,42.97244767,13.94818906,17.95392711,1.187541721,3.693699025,7.821303175,10.35051792,20.93505971,34.01945584,58.22180024,3.602282332,3.927099683,7.777161189,0.7789567729,4.985036251,11.4317935,7.764338824,10.86608537,0,,,,,,,,,,,,,,,,,,,,
POI28,7.567202017,1.803102735,6.914614968,8.469495292,5.66480641,39.16217515,7.406810121,8.57792093,48.36909661,21.39529638,9.794159809,8.805080982,4.642160226,8.723360383,8.208842753,29.23091992,41.46909704,65.61088073,9.116385719,12.01368076,6.220524773,7.807695398,3.390212011,17.99477958,9.484896629,18.81408929,8.334528683,0,,,,,,,,,,,,,,,,,,,
POI29,8.52869341,2.267351121,7.878053364,7.744425597,6.616492072,39.8217118,8.34621017,9.532469332,49.12718917,22.33206365,8.917346361,9.768528109,5.597394331,9.404422754,8.584030272,30.19337565,42.39319379,66.41975809,10.04618295,12.94596352,6.61322453,8.769775199,4.353635609,18.89394544,10.20150995,19.77274689,9.290950236,0.9634471545,0,,,,,,,,,,,,,,,,,,
POI30,10.37997554,5.765368768,9.911066059,4.624428925,8.367129874,43.19837904,10.86643525,11.1413604,52.3100402,24.69276738,9.625713315,11.72556113,7.511926343,12.76264347,12.12882336,31.72840865,44.81946887,66.05321107,12.60805162,14.06856444,5.308553048,10.63533643,6.670934741,21.57504591,13.50410264,21.80142537,10.95311104,4.050407121,3.544976738,0,,,,,,,,,,,,,,,,,
POI31,9.473310565,2.190147203,8.704981348,10.00771741,7.911227702,37.81094403,8.512053364,10.61929169,47.48424122,22.07090554,7.829613628,10.48159603,6.918379034,7.852573965,6.09861542,30.72863862,41.8652473,68.34662033,9.986913779,14.24550108,9.555115745,9.674231263,5.562782281,18.27637035,8.756499277,19.95501671,10.34828771,3.334989098,3.11943342,6.443638629,0,,,,,,,,,,,,,,,,
POI32,5.706484058,9.440253474,6.033475575,12.53553241,5.043628179,40.42376708,7.832948984,5.401025857,48.17762326,18.5288325,17.89190042,6.635344154,5.487272866,12.38692404,14.06261976,23.72206564,38.22288409,57.39636528,8.950869623,6.331065043,3.804371257,5.847881965,6.479064047,16.59823694,12.58881392,15.02786087,5.448193409,8.429136165,9.133217915,8.856476676,11.56247831,0,,,,,,,,,,,,,,,
POI33,0.8243837471,6.627951087,0.5402827343,14.1449445,1.215321791,35.39742393,2.33161026,1.893484637,43.68008136,15.14258354,16.32889306,2.147023324,2.135250801,6.985693076,9.149424171,22.48851062,35.26238951,59.77178785,3.664371197,5.523205733,7.016722542,1.073725955,3.37470792,12.3038526,7.109985317,12.23933516,1.627171219,6.747381257,7.708146158,9.579342744,8.72852232,5.504273541,0,,,,,,,,,,,,,,
POI34,1.421971338,6.878579383,1.011588063,15.23702025,2.538418467,33.87768742,0.8624250046,2.417349242,42.25361369,14.09563367,16.5919922,1.728657726,3.144106743,5.684529314,8.198699914,21.98818247,34.21623842,60.15192482,2.162464817,5.876245679,8.504697489,1.413469205,4.041935986,11.01354569,5.69948179,11.43603017,2.168078063,7.380244746,8.337433378,10.62303146,8.813362214,7.016780188,1.551186949,0,,,,,,,,,,,,,
POI35,5.479604118,12.87821377,6.241553368,19.55050519,7.271873028,34.01624621,6.851468809,4.373869764,40.99569077,10.93398953,22.58563162,4.546676668,8.298483155,11.04364296,14.11357561,16.49621575,30.49126004,53.9308546,6.228523165,1.419433544,11.17510719,5.272750699,9.612408355,9.774204326,10.64570956,7.321040867,4.631835761,12.93624718,13.88545449,15.23221469,14.94652741,7.732278836,6.25702869,6.275186082,0,,,,,,,,,,,,
POI36,19.97367392,27.32494823,20.68590557,33.83002741,21.84681485,32.77176254,20.8244044,18.93166672,35.68988582,11.14032316,37.05774733,18.83972352,22.86741605,23.69035629,27.08922501,3.293255859,20.18814469,42.2498611,19.56194684,15.64802471,25.15559899,19.74467126,24.15568468,14.91273917,22.9495693,10.35068169,19.17688012,27.50956909,28.46322467,29.70430091,29.29477996,21.37902366,20.78127779,20.48203725,14.58681241,0,,,,,,,,,,,
