,"Lat,Lng"
0,"32.2483526,77.1789978"
1,"32.3131243,77.1609477"
2,"32.254381,77.1744257"
3,"32.3717339,77.2416973"
4,"32.265675,77.1852904"
5,"32.0977728,76.8534063"
6,"32.2530626,77.1553533"
7,"32.2394308,77.1858052"
8,"31.9970779,76.830831"
9,"32.1336154,77.1087031"
10,"32.3997388,77.145975"
11,"32.2374493,77.1725731"
12,"32.274748,77.183029"
13,"32.2676712,77.1070105"
14,"32.2967081,77.0955596"
15,"32.0536472,77.1702003"
16,"31.9681897,77.0220295"
17,"31.7985459,77.5134438"
18,"32.239538,77.146006"
19,"32.210265,77.2036163"
20,"32.2932206,77.2399753"
21,"32.2462015,77.1780456"
22,"32.2859867,77.1772542"
23,"32.1709184,77.0959396"
24,"32.2595902,77.1044744"
25,"32.1499067,77.1441298"
26,"32.2415454,77.184234"
27,"32.3164032,77.1797387"
28,"32.3250421,77.1805261"
29,"32.3363669,77.2157952"
30,"32.3293408,77.1477188"
31,"32.2590346,77.2383522"
32,"32.2557228,77.1799478"
33,"32.2513284,77.1642921"
34,"32.2006632,77.193675"
35,"32.0695788,77.1996606"
36,"32.2704352,77.3054686"
37,"32.1985067,77.1999061"
38,"32.2420139,77.1854723"
39,"32.2459633,77.180986"
40,"31.3651776,76.5593643"
41,"32.2002859,77.0107"
42,"32.2012165,77.0057091"
43,"32.1166726,77.1660741"
44,"31.8875172,77.1266841"
45,"32.1754561,77.1949628"
46,"32.3465653,77.2307391"
