PID,POIs
POI1,Hidimba Temple
POI2,Solang Valley
POI3,Manu Temple
POI4,Rohtang Pass
POI5,Vashisht Temple
POI6,Paragliding in Manali
POI7,Old Manali
POI8,Manali Mall Road
POI9,Rafting
POI10,Manikaran
POI11,Atal Tunnel
POI12,"Van Vihar, Manali"
POI13,Jogini Waterfall
POI14,Sethan Valley
POI15,Skiing in Manali
POI16,Jana Waterfall
POI17,Parvati Valley
POI18,The Great Himalayan National Park
POI19,Kullu
POI20,Arjun Gufa
POI21,Bhrigu Lake
POI22,Museum of Himachal Culture & Folk Art
POI23,Nehru Kund
POI24,Naggar
POI25,Adventure Activities in Manali
POI26,Malana
POI27,Himalaya Nyingmapa Buddhist Temple
POI28,Kothi Village Manali
POI29,Gulaba
POI30,Rahala Falls
POI31,Beas Kund Trek
POI32,Hampta Pass Trek
POI33,Manali Club House
POI34,Manali Sanctuary
POI35,Jagatsukh
POI36,Chanderkhani Pass
POI37,Hampta Valley
POI38,Gayatri Temple
POI39,Gadhan Thekchhokling Gompa Monastery
POI40,Siyali Mahadev Temple
POI41,Gauri Shankar Temple
POI42,Rozy Waterfalls
POI43,Zorbing in Manali
POI44,Nicholas Roerich Art Gallery
POI45,Bhunter
POI46,Knoi Waterfalls
POI47,Sagoo Waterfall
