PID,Place,shows and concerts,scenic,Local Experience,Religious,History and culture,Museum,Food and Drinks,Adventure,Shopping
POI1,Hidimba Temple,0,3,2,5,4,0,0,0,0
POI2,Solang Valley,0,4,5,0,2,0,1,3,0
POI3,Manu Temple,0,3,0,5,4,0,1,0,0
POI4,Rohtang Pass,0,4,5,0,0,0,1,0,0
POI5,Vashisht Temple,0,0,0,5,4,0,1,0,0
POI6,Paragliding in Manali,0,0,0,0,0,0,1,5,0
POI7,Old Manali,0,4,5,0,0,0,1,0,0
POI8,Manali Mall Road,3,0,4,0,0,0,0,0,5
POI9,Rafting,0,4,0,0,0,0,0,5,0
POI10,Manikaran,0,4,5,0,0,0,0,0,3
POI11,Atal Tunnel,4,5,0,0,0,0,0,0,0
POI12,"Van Vihar, Manali",4,5,0,0,0,0,0,0,0
POI13,Jogini Waterfall,0,4,0,0,0,0,0,5,0
POI14,Sethan Valley,0,4,5,0,0,0,0,0,3
POI15,Skiing in Manali,0,4,0,0,0,0,0,5,0
POI16,Jana Waterfall,0,0,4,0,0,0,0,5,0
POI17,Parvati Valley,0,4,5,0,0,0,0,0,3
POI18,The Great Himalayan National Park,0,5,4,0,0,0,0,0,0
POI19,Kullu,0,4,5,0,0,0,0,0,3
POI20,Arjun Gufa,0,5,4,0,3,0,0,0,0
POI21,Bhrigu Lake,0,5,4,0,3,0,0,0,0
POI22,Museum of Himachal Culture & Folk Art,0,0,0,0,4,5,0,0,0
POI23,Nehru Kund,0,5,3,4,0,0,0,0,0
POI24,Naggar,0,0,5,0,0,0,1,0,4
POI25,Adventure Activities in Manali,0,4,0,0,0,0,1,5,0
POI26,Malana,2,4,5,0,0,0,1,0,3
POI27,Himalaya Nyingmapa Buddhist Temple,0,0,3,5,4,0,1,0,0
POI28,Kothi Village Manali,0,3,5,0,0,0,1,0,4
POI29,Gulaba,1,3,5,0,0,0,1,0,0
POI30,Rahala Falls,0,4,3,0,0,0,1,5,0
POI31,Beas Kund Trek,0,4,3,0,0,0,1,5,0
POI32,Hampta Pass Trek,0,4,3,0,0,0,1,5,0
POI33,Manali Club House,0,4,3,0,0,0,1,5,0
POI34,Manali Sanctuary,0,4,3,0,0,0,1,5,0
POI35,Jagatsukh,0,0,5,0,0,0,1,0,0
POI36,Chanderkhani Pass,0,0,4,0,0,0,1,5,0
POI37,Hampta Valley,0,0,5,0,0,0,1,0,0
POI38,Gayatri Temple,0,3,0,5,4,0,1,0,0
POI39,Gadhan Thekchhokling Gompa Monastery,0,3,0,4,5,0,0,0,0
POI40,Siyali Mahadev Temple,0,3,0,4,5,0,0,0,0
POI41,Gauri Shankar Temple,0,3,0,4,5,0,0,0,0
POI42,Rozy Waterfalls,0,4,0,0,0,0,0,5,0
POI43,Zorbing in Manali,0,3,4,0,0,0,0,5,0
POI44,Nicholas Roerich Art Gallery,3,0,2,0,4,5,0,0,0
POI45,Bhunter,0,4,5,0,0,0,0,0,0
POI46,Knoi Waterfalls,0,4,0,0,0,0,0,5,0
POI47,Sagoo Waterfall,0,4,0,0,0,0,0,5,0
