PID,POIs,Time1,Time2,In time 1,In time 2,Out time 1,Out time 2
POI1,Hidimba Temple,23:59,,00:00,,23:59,
POI2,Solang Valley,09:00,,09:00,,18:00,
POI3,Manu Temple,11:00,,06:00,,17:00,
POI4,Rohtang Pass,06:00,,06:00,,12:00,
POI5,Vashisht Temple,06:00,07:00,07:00,14:00,13:00,21:00
POI6,Paragliding in Manali,14:00,,08:00,,22:00,
POI7,Old Manali,23:59,,00:00,,23:59,
POI8,Manali Mall Road,12:00,,09:00,,21:00,
POI9,Rafting,07:00,,10:00,,17:00,
POI10,Manikaran,07:00,05:00,05:00,16:00,12:00,21:00
POI11,Atal Tunnel,23:59,,00:00,,23:59,
POI12,"Van Vihar, Manali",10:00,,08:00,,18:00,
POI13,Jogini Waterfall,23:59,,00:00,,23:59,
POI14,Sethan Valley,23:59,,00:00,,23:59,
POI15,Skiing in Manali,08:00,,10:00,,18:00,
POI16,Jana Waterfall,12:00,,06:00,,18:00,
POI17,Parvati Valley,09:00,,09:00,,18:00,
POI18,The Great Himalayan National Park,07:30,,10:00,,17:30,
POI19,Kullu,14:00,,06:00,,20:00,
POI20,Arjun Gufa,23:59,,00:00,,23:59,
POI21,Bhrigu Lake,23:59,,00:00,,23:59,
POI22,Museum of Himachal Culture & Folk Art,12:00,,08:00,,20:00,
POI23,Nehru Kund,23:59,,00:00,,23:59,
POI24,Naggar,09:00,,09:00,,18:00,
POI25,Adventure Activities in Manali,09:30,,10:00,,19:30,
POI26,Malana,23:59,,00:00,,23:59,
POI27,Himalaya Nyingmapa Buddhist Temple,13:00,,06:00,,19:00,
POI28,Kothi Village Manali,23:59,,00:00,,23:59,
POI29,Gulaba,12:00,,07:00,,19:00,
POI30,Rahala Falls,11:00,,06:00,,17:00,
POI31,Beas Kund Trek,23:59,,00:00,,23:59,
POI32,Hampta Pass Trek,23:59,,00:00,,23:59,
POI33,Manali Club House,10:00,,10:00,,20:00,
POI34,Manali Sanctuary,09:00,,09:00,,18:00,
POI35,Jagatsukh,07:00,,10:00,,17:00,
POI36,Chanderkhani Pass,23:59,,00:00,,23:59,
POI37,Hampta Valley,23:59,,00:00,,23:59,
POI38,Gayatri Temple,13:00,,06:00,,19:00,
POI39,Gadhan Thekchhokling Gompa Monastery,14:30,,06:00,,20:30,
POI40,Siyali Mahadev Temple,13:00,,06:00,,19:00,
POI41,Gauri Shankar Temple,11:00,,08:00,,19:00,
POI42,Rozy Waterfalls,12:00,,06:00,,18:00,
POI43,Zorbing in Manali,07:00,,10:00,,17:00,
POI44,Nicholas Roerich Art Gallery,07:00,,10:00,,17:00,
POI45,Bhunter,14:00,,06:00,,20:00,
POI46,Knoi Waterfalls,23:59,,00:00,,23:59,
POI47,Sagoo Waterfall,23:59,,00:00,,23:59,
