Section,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
1,POI1,POI7,POI11,POI13,POI14,POI20,POI21,POI23,POI26,POI28,POI31,POI32,POI36,POI37,POI46,POI47,POI10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,POI10,POI1,POI7,POI11,POI13,POI14,POI20,POI21,POI23,POI26,POI28,POI31,POI32,POI36,POI37,POI46,POI47,POI10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,POI3,POI4,POI16,POI19,POI27,POI30,POI38,POI39,POI40,POI42,POI45,POI1,POI7,POI11,POI13,POI14,POI20,POI21,POI23,POI26,POI28,POI31,POI32,POI36,POI37,POI46,POI47,POI10,,,,,,,,,,,,,,,,,,,
4,POI5,POI29,POI3,POI4,POI16,POI19,POI27,POI30,POI38,POI39,POI40,POI42,POI45,POI1,POI7,POI11,POI13,POI14,POI20,POI21,POI23,POI26,POI28,POI31,POI32,POI36,POI37,POI46,POI47,POI10,,,,,,,,,,,,,,,,,
5,POI6,POI12,POI22,POI41,POI5,POI29,POI3,POI4,POI16,POI19,POI27,POI30,POI38,POI39,POI40,POI42,POI45,POI1,POI7,POI11,POI13,POI14,POI20,POI21,POI23,POI26,POI28,POI31,POI32,POI36,POI37,POI46,POI47,POI10,,,,,,,,,,,,,
6,POI2,POI8,POI17,POI24,POI34,POI6,POI12,POI22,POI41,POI5,POI29,POI3,POI4,POI16,POI19,POI27,POI30,POI38,POI39,POI40,POI42,POI45,POI1,POI7,POI11,POI13,POI14,POI20,POI21,POI23,POI26,POI28,POI31,POI32,POI36,POI37,POI46,POI47,POI10,,,,,,,,
7,POI9,POI15,POI18,POI25,POI33,POI35,POI43,POI44,POI2,POI8,POI17,POI24,POI34,POI6,POI12,POI22,POI41,POI5,POI29,POI3,POI4,POI16,POI19,POI27,POI30,POI38,POI39,POI40,POI42,POI45,POI1,POI7,POI11,POI13,POI14,POI20,POI21,POI23,POI26,POI28,POI31,POI32,POI36,POI37,POI46,POI47,POI10
8,POI9,POI15,POI18,POI25,POI33,POI35,POI43,POI44,POI2,POI8,POI17,POI24,POI34,POI6,POI12,POI22,POI41,POI5,POI29,POI3,POI4,POI16,POI19,POI27,POI30,POI38,POI39,POI40,POI42,POI45,POI1,POI7,POI11,POI13,POI14,POI20,POI21,POI23,POI26,POI28,POI31,POI32,POI36,POI37,POI46,POI47,POI10
9,POI9,POI15,POI18,POI25,POI33,POI35,POI43,POI44,POI2,POI8,POI17,POI24,POI34,POI6,POI12,POI22,POI41,POI29,POI3,POI16,POI19,POI27,POI30,POI38,POI39,POI40,POI42,POI45,POI1,POI7,POI11,POI13,POI14,POI20,POI21,POI23,POI26,POI28,POI31,POI32,POI36,POI37,POI46,POI47,,,
10,POI10,POI5,POI15,POI18,POI25,POI33,POI2,POI8,POI17,POI24,POI34,POI6,POI12,POI22,POI41,POI29,POI16,POI19,POI27,POI38,POI39,POI40,POI42,POI45,POI1,POI7,POI11,POI13,POI14,POI20,POI21,POI23,POI26,POI28,POI31,POI32,POI36,POI37,POI46,POI47,,,,,,,
11,POI19,POI22,POI33,POI45,POI39,POI8,POI6,POI1,POI7,POI11,POI13,POI14,POI20,POI21,POI23,POI26,POI28,POI31,POI32,POI36,POI37,POI46,POI47,POI10,POI5,,,,,,,,,,,,,,,,,,,,,,
12,POI6,POI1,POI7,POI11,POI13,POI14,POI20,POI21,POI23,POI26,POI28,POI31,POI32,POI36,POI37,POI46,POI47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,POI1,POI7,POI11,POI13,POI14,POI20,POI21,POI23,POI26,POI28,POI31,POI32,POI36,POI37,POI46,POI47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
